ensembl_98	siletti
Y_RNA	Y-RNA
Metazoa_SRP	Metazoa-SRP
5S_rRNA	5S-rRNA
VARS	VARS1
DMBT1P1	DMBT1L1
H1F0	H1-0
MARCH8	MARCHF8
HARS	HARS1
ARSE	ARSL
MARCH7	MARCHF7
MARCH2	MARCHF2
ANKRD20A2	ANKRD20A2P
FAM90A12P	FAM90A10P
CARS-AS1	CARS1-AS1
CARS	CARS1
RARS	RARS1
ANKRD20A3	ANKRD20A3P
FAM86C1	FAM86C1P
H2AFX	H2AX
IARS	IARS1
NARS	NARS1
NAP1L6	NAP1L6P
H2AFZP4	H2AZP4
KARSP2	KARS1P2
DARS	DARS1
QARS	QARS1
WARSP1	WARS1P1
MARCH4	MARCHF4
MARCH11	MARCHF11
KARSP1	KARS1P1
KIF1BP	KIFBP
KHDRBS2-OT	KHDRBS2-OT1
ZNF807	ZNF807P
WARS	WARS1
CARSP1	CARS1
H2AFZP2	H2AZP2
H2AFZP6	H2AZP6
GARS	GARS1
GARS-DT	GARS1-DT
H2AFZP3	H2AZP3
MARCH3	MARCHF3
ACPP	ACP3
YARS	YARS1
H2AFB1	H2AB1
PALM2-AKAP2	PALM2AKAP2
ANKRD20A4	ANKRD20A4P
MARCH10	MARCHF10
MARCH10-DT	MARCHF10-DT
TARS	TARS1
MARCH5	MARCHF5
H2AFZP5	H2AZP5
ARSEP1	ARSLP1
LARS	LARS1
LINC002481	LINC02481
GARSP1	GARS1P1
MARCH6	MARCHF6
CARSP2	CARS1P2
MARCH1	MARCHF1
SEC22B3	SEC22B3P
H3F3B	H3-3B
KARSP3	KARS1P3
SPDYE21P	SPDYE21
LINC2194	LINC02194
SEC22B2	SEC22B2P
ADSSL1	ADSS1
SARS	SARS1
SSPO	SSPOP
H2AFZP1	H2AZP1
NARSP2	NARS1P2
KARS	KARS1
AARSP1	AARS1P1
AARS	AARS1
PSMD12P	PSMD12P1
H2AFJ	H2AJ
PSMC1P1	PSMC2P1
ADSS	ADSS1
MARS	MARS1
MARCH9	MARCHF9
EPRS	EPRS1
MARC2	MTARC2
MARC1	MTARC1
RARSP1	RARS1P1
H3F3A	H3-3A
