"C1.1"	"C1.10"	"C1.11"	"C1.12"	"C1.13"	"C1.2"	"C1.3"	"C1.4"	"C1.5"	"C1.6"	"C1.7"	"C1.8"	"C1.9"
"ARC"	0.747081012749923	0.754803545236801	0.00164693011674944	0.0963180708731541	0.110482414210414	0.124733311415458	0.202091672982396	0.0651289881740378	0.0277321937378578	0.349179464103082	0.00420337131469044	0.0105073357221284	0.0244869811980962
"Blood vessels"	0.173217360388914	0.0138050234500668	0.00662927823411117	2.52951723996896	0.404849422132768	0.0226974008560042	0.0235509944151611	0.0765678227942164	0.0142029649808618	0.00444459661546827	0.00565756552526249	0.00940309959229939	0.0310202251516541
"Fornix/LH"	0.510995037411313	0.0186147569997107	0.0263896179470726	0.101621649489369	0.0660335455286776	0.0224650285615098	0.166159801287022	1.48548003760686	0.0189981024067665	0.0177741398641641	0.0351786621528763	0.0156612720809283	0.012281748371947
"Fornix/OT"	0.797487813344401	0.00507503332814337	0.00784726928729181	0.106384612983209	0.168135034912097	0.0663478046044512	0.10425812293483	1.5479258174776	0.00646546024853887	0.00580032309454442	0.00850419863441521	0.0045885614831767	0.00790549582335001
"IMH"	0.821968196410297	0.0740992185141919	0.144145372798099	0.0772114921005881	0.0486522354077854	0.00383770728019148	0.324245143878223	0.130119453544716	0.143636807263134	1.60543333466781	0.227706086194254	0.287167484015029	0.0248484550909237
"Leptomeningeal"	1.41211806153151	0.0452184247795217	0.0151793148093028	0.194426580318191	0.214546413851067	0.122847710878787	0.0876997575374886	0.268129526322327	0.0211303904613272	0.0507594003177551	0.0360683288004505	0.0214576657547609	0.0687109032741546
"LH"	0.772913045512986	0.0346498090217566	0.0494387920025446	0.325651622765254	0.0918085869735077	0.0192944207662081	0.186007745772618	0.70445374023501	0.0432914356178791	0.0429003004039911	0.106151769075948	0.0465118744545378	0.0359162330567723
"LH/LPOA"	1.20877779375279	0.0297449110119378	0.146687421231667	0.0909565166145969	0.066057114447177	0.0095165835641991	0.401647335371634	0.847769694088207	0.117889362835028	0.102929991465679	0.542458915121383	0.151237826104208	0.0549417201871514
"LPOA"	0.768325302852279	0.00174868121648935	0.450524596425249	0.127874473229324	0.0413301165772961	0.00676128515876835	0.133183858823635	1.04852973774261	0.00730600585314115	0.00205268125514126	1.96634662633924	0.00493770802067881	0.00171673592110588
"LTN"	1.53720080602042	0.235604476101378	0.128342655661331	0.195438631891326	0.308131704549037	0.0111062000275066	0.430328741358884	0.0898513222838912	3.23390714380335	0.43888382645702	0.235560457284087	0.0390023522875115	0.0101541928485426
"MAM"	1.31373385508855	0.858338123857975	0.0021483667147307	0.0834731377453621	0.0292475755315778	0.0051583503697475	0.236646811335037	0.000452895063329682	0.358135402376453	0.283692538154622	0.0477655796986073	1.47401763697465	0.00305053145275451
"ME"	0.0427975459916	0.0401335888784332	0.00074132059941086	0.536398670165013	0.440595204788032	0.292306202478997	0.0283935104877897	0.0263525171090413	0.00118633656084934	0.00739727402507509	0.000216099300418847	0.00584858015469947	0.00359001047503802
"MedHy"	1.24960754649574	0.286520172304685	0.0667666105929739	0.107168966060116	0.0824240337414644	0.0141405036196776	0.303668660392641	0.230807977518332	0.161575230180332	0.358167990514004	0.265390075026564	0.199379262197846	0.0994273644921836
"PVN/SON"	0.614446894314732	0.0259595497087183	0.0149962434775963	0.495669690348435	0.19054852452954	0.0330424553043084	0.0579411444287398	0.0699992139201112	0.0153162303634349	0.0460618928536175	0.021176334273808	0.00779422083071025	1.29668779221657
"SCN"	0.814879819896876	0.0986367876731617	0.00899719187506289	0.126712143372362	0.129836812414521	0.0182238921094669	0.192212712454299	0.0451660062316626	0.184500904589453	0.538117691962158	0.0166369050040421	0.083666436481282	0.0135470298786542
"TMN"	0.845953911056815	1.48859012138041	0.092233470995276	0.15458558780994	0.0479224444888759	0.00804728665716432	0.168908528661715	0.203222395452237	0.0519791189272358	0.247848257675529	0.131255372631741	0.101653544962083	0.199339056305165
"Vent"	0.985491740086812	0.10900406770101	0.00660001749728432	0.0803785341240136	0.189068311024277	1.12794054772162	0.0959815933630269	0.0790424643819664	0.0449241644573303	0.106862744080975	0.0269405366349222	0.0445337679429757	0.124727919755292
"VMH"	2.08792175226145	2.10763334219321	0.0588304126542588	0.152570665101615	0.128793984157465	0.0053872504796168	0.639545355836543	0.105991149677585	0.901693567711972	0.363797420909225	0.218409346311661	0.433798682963565	0.00513659924514342
