"C1.1"	"C1.10"	"C1.11"	"C1.12"	"C1.13"	"C1.2"	"C1.3"	"C1.4"	"C1.5"	"C1.6"	"C1.7"	"C1.8"	"C1.9"
"ARC"	0.6999371945858	0.667511543631554	0.000186743086669594	0.0486880730837584	0.0793183896690607	0.0397050870582461	0.164443835616112	0.009961748868227	0.00347551439190283	0.291117437183857	0.00109648745856248	0.00153323523118161	0.00196561616612598
"Blood vessels"	0.091041699424386	0.000111355554690817	0.000176889161230065	2.21619652509689	0.230437517911196	0.00139180809492245	0.00538021277170628	0.00101918635773472	0.000484871167282108	0.000127625023014843	0.000233967451640638	0.000180133899993962	0.000102866700399318
"Fornix/LH"	0.45695356503129	0.00120558300113771	0.00895748289767653	0.0771143572404981	0.0352204717695713	0.010210529435426	0.112750867940485	1.23888334929943	0.00333095269161277	0.00157591546303593	0.00361581498291343	0.00138692202162929	0.000620961815002374
"Fornix/OT"	0.737108325958252	0.000126256587100215	0.00045901344565209	0.0702959038317204	0.112442006915808	0.041751398332417	0.0600135842338204	1.51647711396217	0.000388650219247211	0.000200518211204326	0.000348452248726971	0.000163636267825495	0.000158104074944276
"IMH"	0.82636750638485	0.0347820520401001	0.135180905461311	0.0409475393593311	0.0167857676744461	0.00108399383025244	0.301172928512096	0.0759099211543798	0.124055034667253	1.57334707379341	0.148039343953133	0.269782952964306	0.00174889142508619
"Leptomeningeal"	1.33821640610695	0.00173549226601608	0.00168636088783387	0.115121185779572	0.136444218456745	0.0602389243431389	0.0429425049573183	0.207961227372289	0.0029168963257689	0.00433406039373949	0.00545706552220509	0.00178579852217808	0.00364665231318213
"LH"	0.74743547141552	0.00273493775748648	0.0221751903183758	0.216569245606661	0.040887618996203	0.00767533768666908	0.129073151573539	0.516919705271721	0.011508876667358	0.00574742450844497	0.0278392863925546	0.00542398262768984	0.00308842274243943
"LH/LPOA"	1.20944786071777	0.004355466470588	0.131060433760285	0.0545038791373372	0.0383225277997553	0.00534498753258958	0.378492570668459	0.822899121046066	0.0801311392337084	0.0342487891204655	0.512873113155365	0.0662940880283713	0.00253678816370666
"LPOA"	0.768059700727463	0.00030606731743319	0.391553238779306	0.0835604378953576	0.0174578279256821	0.00343148110550828	0.0998955683782697	1.00186393558979	0.000606026987952646	0.000662545984960161	1.72919690012932	0.000620807707309723	0.000152811666339403
"LTN"	1.43061704337597	0.178900362923741	0.106071867980063	0.112128701247275	0.249807919561863	0.00404115908313543	0.379581271857023	0.0238182522822171	2.91954145431519	0.397542687505484	0.15414561368525	0.0178560313768685	0.00149009758024476
"MAM"	1.30492676794529	0.832930420339107	0.00122162844636478	0.0245743785053492	0.00488899035844952	0.00313977636396885	0.214329591020942	0.000204408535500988	0.366605517268181	0.243029271438718	0.0381086628884077	1.4853954911232	0.00199761000694707
"ME"	0.0116718812379986	2.93678712296241e-05	0.000112448598156334	0.41680980026722	0.410776793956757	0.295957934856415	0.0171999046579003	0.000754634759505279	4.42558659415226e-05	2.49166856519878e-05	4.36885398812592e-05	0.000760717008961365	3.10070325213019e-05
"MedHy"	1.20291592478752	0.0930555254220962	0.023642950784415	0.0598208764567971	0.0406840277835727	0.00480828650761396	0.251861861348152	0.132655426114798	0.111419031023979	0.232042247802019	0.141725582629442	0.106715916097164	0.00737715705763549
"PVN/SON"	0.579525899887085	0.00113942392636091	0.000989048508927226	0.426463779062033	0.0977511957287788	0.0067466109408997	0.0182857200969011	0.00587785327807069	0.00134832487383392	0.00344116135383956	0.00176865696557798	0.000695919706777204	1.20465699136257
"SCN"	0.81129504442215	0.0819485258311033	0.00389806088060141	0.073577943816781	0.120866967365146	0.00466168564744294	0.171113906055689	0.013984260847792	0.182087790220976	0.505684044957161	0.00700826284009963	0.0662522573024034	0.00790795865468681
"TMN"	0.771228256821632	1.30118118524551	0.0564285920932889	0.0784060209989548	0.0124679666478187	0.00202884179307148	0.110841616988182	0.0531866626814008	0.00820983098819852	0.0699532512575388	0.0434776160866022	0.0117545878980309	0.0110262797679752
"Vent"	0.967178228497505	0.0122905118158087	0.00042155099727097	0.0188341388013214	0.144097331166267	0.873603415489197	0.0476123046129942	0.0155615363502875	0.0121853240067139	0.0132510302355513	0.0027766260667704	0.00358942896127701	0.00316330437199213
"VMH"	2.10061559677124	2.03010835647583	0.0199347083456814	0.0830687750130892	0.0818488012999296	0.00278259372571483	0.600169369578362	0.0523153319954872	0.825287705659866	0.253615637123585	0.153984399884939	0.340155754983425	0.00114365671761334
