"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"ARC"	1.29155668900427	0.00245417152150196	0.00170052963487708	0.00128525338699574	0.00157055633166597	0.00291677551144031	0.00152036560718672	0.0030044829090033	0.219260945439014	0.0036838335013611	0.00204283333141072	0.629546709233568	0.00364872870394265	0.127852923516009	0.180931359072289	0.0613373337263622	0.00145437045410618	0.00260401390470487	0.00315056762051124	0.000976052931276373	0.00154309125832189	0.00238018644420873	0.197845089612837	0.00111576202371064	0.00332514032884284	0.103781893364245	0.0012413963819344	0.00121602428168336	0.0027025812070039	0.00436434939610383	0.0463200297887922	0.34326144667323	0.0203876597103593	0.223082517370211	0.0253832907634832	0.105238387889765	0.350142393008514	0.0102312073170946	1.37003447817398	0.0277695667131329	0.00112056556195586	0.00168988994246464	0.176936308716717	0.1377230735922	0.209453227301022	0.0836766983514568	0.0103634339120035	0.108615782410152	0.0102251877221604	0.0737191689965637	0.0603558157438705	0.00214290447825073
"Blood vessels"	0.111707967663772	0.000565017460077731	0.00135115449123404	0.000371147875814074	0.00248896334450946	0.00254024810495159	0.000627128903470682	0.00135888532029793	0.00201458325905009	0.000659641701888966	0.000762598686331445	0.0910140070361494	0.00131561715569301	0.00116789612712909	0.000680467640696833	0.0010638032441094	0.00187606349118984	0.00099365311593489	0.000782902972856605	0.000916127578626465	0.0022971362973905	0.000533656646848465	0.454796234662726	0.000517242712764847	0.00089234091105031	0.00385052890923068	0.00213020747343505	0.00108649215823816	0.00225199563543684	0.00141389438130546	0.0424158189693545	0.0349573986908744	0.00153014119006712	0.0593506878615701	0.0090078504190912	0.00355867504604305	0.00331803410721075	0.00433555179970751	0.00852885330441617	0.0085072723654954	0.00414748322678793	0.00066391313483977	6.7311431486601	0.263219118224129	0.0242149449397123	0.825517396647656	0.0166570981865889	0.287335695289495	0.00496021648765064	0.143795077793634	0.0375085195043442	0.0046435919411682
"Fornix/LH"	0.39527523040246	0.00246256619994052	0.00207262084002967	0.00157220607109595	0.00295381037354245	0.00363474743215197	0.00338860571062382	0.00185732707979807	0.00163212478363607	0.00198619409230786	0.00611425622796305	0.267769249242055	0.00451022119206585	0.00305693466008645	0.00159497122682157	0.00157414179172022	0.0341026128878539	0.0051755548220263	0.00196490600204397	0.0117874178098612	0.00786860677536622	0.00233509880014203	1.02300044445679	0.00208759077459253	0.00175861613336127	0.00306354745677451	0.00488345056476837	0.00397548947944737	0.00377882246475543	0.00207164532396421	0.00686776989455899	0.0100222989086055	0.00328543436366652	0.0273931272852433	0.00274748722143695	0.00177829473226144	0.00207958245199461	0.0160667732422087	0.00286393227164341	0.0160445174918826	0.0165467598255135	0.00325844449613557	0.243922385004186	0.15058053076952	0.238014228124743	0.0149578979695298	0.00923956485996305	0.0305312150193021	0.0348904086430101	2.9118388750237	1.09513812563677	0.00348986942687106
"Fornix/OT"	0.236434583129153	0.0011145915583055	0.00071852903142442	0.000486936935769369	0.00104648941664484	0.00184030189652462	0.00116579593778296	0.000728297836602463	0.00100587771571682	0.000913212144159869	0.000878367474897482	0.133216075382191	0.00110606791176439	0.000644481386460416	0.000584794920361462	0.000583741172426428	0.00460942707770425	0.00182915210274595	0.000702374603398977	0.00229624799368408	0.00188227363696355	0.000676886437718357	2.61981642995539	0.000798213315086932	0.000909925243558328	0.000848910103495598	0.0013841017020115	0.00193638780287826	0.00121490540305403	0.000639939610537642	0.00699731024822471	0.00736012746173369	0.00058535490858194	0.101587782715629	0.00102838329531133	0.000826105978467912	0.000867978920928146	0.00248795193145298	0.00238368415292855	0.0023710671816379	0.00528358308203299	0.00179425869950938	0.22415809491981	0.378527224852139	0.153245844280528	0.0368743733778908	0.00928517538596683	0.0318212675979015	0.0312855378044507	3.23942256377765	0.834170060944902	0.00140608647481238
"IMH"	1.24494314423544	0.00832642835648313	0.0159325159626285	0.0338137625467	0.0290940547540358	0.0436896430353393	0.0159883939871328	0.0114382110327014	0.0156321190059416	0.215526889679914	0.0276436424778255	1.03134669513252	2.99163189565309	0.0282456017307826	0.00970763282975488	0.209504180328645	0.0519201519297881	0.0229721654364631	0.613410617112048	0.0317565820489741	0.0136586137726484	0.0231183874253728	0.0593138145868995	0.0149488508388567	0.0289321748271355	0.128005860435292	0.123561450058365	0.0183858632850252	0.0869433069931788	0.00730217835883001	0.0228611458823709	0.00722373326604987	0.0140325462494268	0.00745052538647963	0.0152109905502114	0.0259862773089707	0.0138775415759532	0.0293142373647555	0.00475966340745075	0.0438816022130473	0.179890673738048	0.0234571421661111	0.151708465710801	0.065376128662095	0.393136335686961	0.0237232674702953	0.00527362985587424	0.024046705113388	0.0164985984647809	0.176105601469834	0.0837518516646765	0.0162455745952132
"Leptomeningeal"	0.698773663748778	0.00485198520871405	0.00275097068529171	0.00225916938647638	0.00263092075577461	0.00500784845460831	0.00391921324936341	0.0029769731297619	0.0401961013057489	0.00893291402079275	0.00627764776733445	0.514875451468592	0.014973355212273	0.0106439304915406	0.00859999112646781	0.00677424410863959	0.0146841619175705	0.00760939197755609	0.0028481291466314	0.0104922010665829	0.00874207138790632	0.00406030668172824	3.88454115972948	0.00378529204399657	0.00771472373974084	0.00527400537240658	0.00727012739227667	0.0121863720723292	0.00809990050952348	0.00705609186724621	0.0824179475836855	0.0865504199626535	0.00827784240177113	0.299315990905609	0.00919794594702569	0.00902946797875242	0.0139069878205331	0.0205744535781265	0.0270680277382842	0.0278395656186481	0.010651063483301	0.00438557243223536	0.350603318665015	0.488233404155731	0.118457416896795	0.12101795926071	0.0120529610402698	0.0367532209880664	0.0134449606474773	0.520168665188744	0.172316920853005	0.0027250800446748
"LH"	0.858206320546678	0.00711561573267851	0.00507439829273277	0.00574939914260133	0.00572963870912906	0.00925788233780703	0.00734360855207585	0.00505378049478378	0.00914740162878784	0.0111246689242787	0.0190154757272732	0.625906636885279	0.0124900427310065	0.00871306453064029	0.00559270242109682	0.00553539955073665	0.0392344469339384	0.0186473020656331	0.00809185386489743	0.0577494690336805	0.0202762509521654	0.00679192398203861	0.695549744582748	0.00573364962693048	0.00624615129800215	0.0105534860357624	0.0150235834488689	0.0270662067579677	0.0188957443406073	0.0058456573895941	0.026579091784427	0.022186829092204	0.00808822442987196	0.0344078158287226	0.0252068839946838	0.00719403173152477	0.00803093622455651	0.0186236723229668	0.00748329170349062	0.0152640781100223	0.0465993785712285	0.00727360222439532	0.760326566905962	0.154043385334766	0.246998274905351	0.054701151217312	0.010861843282178	0.0349036426979846	0.0219974976136987	1.29870726355844	0.479700516299306	0.00939647350829031
"LH/LPOA"	1.79094426554253	0.0266509222975274	0.014054858555918	0.0348564008066882	0.0146054582826513	0.0233488823821399	0.026773053713984	0.0154848290419471	0.00932683322118372	0.0329219244505408	0.109218954484609	1.10459090720751	0.0444323504483398	0.0157481974985331	0.0125237473194131	0.00861856132389076	0.114093680142715	0.107335770540328	0.218491748370948	0.357786118511421	0.0596497651603486	0.028590767942215	0.207271440142172	0.0247556660569728	0.0159791891487167	0.0206584988391449	0.0794163592088327	0.165689613996882	0.0997135759312634	0.0127622227385641	0.0213181037667717	0.0101016203916966	0.00964570197979735	0.00748983098193326	0.0452837869419798	0.0107079059969607	0.0110063028517325	0.0106027078603021	0.00677568166150554	0.00646239433494764	0.146352231136815	0.0296218186745239	0.169835591663265	0.0955622571324265	0.475926150180944	0.0181222716913289	0.00921266273355938	0.024998527323971	0.0288182174862383	1.21780796250953	0.627719329192591	0.015217993243638
"LPOA"	1.23500982481538	0.00125948308758642	0.001001292719063	0.00379103830393831	0.00284080975861576	0.00396019846493348	0.00630921960243184	0.00183640884125137	0.000915721739432293	0.001623244826879	0.00365430696678481	0.509865199756534	0.0106792653503364	0.00120363457002352	0.000727047889475695	0.000712871131576759	0.185977913797125	0.0184486589757081	0.00611251465655345	2.28391583952689	2.03539885515996	0.00187414317680081	0.369248434167241	0.00115014328264266	0.000857547571967154	0.000391749201961399	0.00451275282150421	0.0144974627180411	0.00329063506275148	0.000707421544293953	0.000881751008857206	0.00379213761647495	0.000906061944125813	0.00519207632991673	0.00115936923547087	0.00054444859255279	0.00146803968977718	0.000893032952682191	0.00159747027354932	0.000397191833596378	0.300832044628825	0.00231081300050516	0.161562020878604	0.0752198715075007	0.152573229948153	0.00958468355444263	0.00460102065615396	0.0126462633833085	0.0169188291742012	1.37614846337448	0.913379592387802	0.00154486220325843
"LTN"	2.03790949569579	0.542436432442174	0.879601958742801	0.0122190537168193	0.0969314019922454	0.0614111313372826	0.177797618670061	0.416423034595509	0.00424096875264714	0.00282663238245758	0.00671607925682665	0.721860999275818	0.012649184519311	0.00513175568516515	0.0620629454067683	0.00130308132931261	0.00777008969925713	0.0527666716710406	0.00149686622267798	0.028522553032871	0.0080835635525797	0.00950417434921827	0.201298345145249	0.0026352290717391	0.00140368499676516	0.00138284938481987	0.00108966567628184	0.00754417186753088	0.00251912864157556	0.000815141668653726	0.00271524439126273	0.00322081904456444	0.0023989223135125	0.0117748795880501	0.0380380347548795	4.41367630437322	0.00449879742993276	0.00285652553676261	0.0029460585471091	0.0150188935822126	0.0214505586374089	0.00140205761488636	0.293928098775705	0.38338017063364	0.24383945273787	0.0556711979538156	0.00498794123509953	0.0104492946783847	0.0115934855021257	0.0801568391269313	0.0539407817534109	0.680305496399606
