"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"ARC"	1.18520525097847	0.000780182136804797	0.00059256793174427	0.000498268344381359	0.000351216724084224	0.00111571338493377	0.000378877349430695	0.000870288925943896	0.0593537040054798	0.00113004604354501	0.000763221699162386	0.533968889713287	0.00109270270331763	0.015109800780192	0.0342312354594469	0.00490058232098818	0.000308160223357845	0.000669923523673788	0.000959081936161965	0.000347685794986319	0.000306103353796061	0.000780955908703618	0.061199071444571	0.000433589627209585	0.000819817269803025	0.0219297840259969	0.000374868931248784	0.000487537954177242	0.0008159911056282	0.000765357131604105	0.00664391245227307	0.289266800880432	0.00202898292336613	0.0161999009549618	0.00110503373434767	0.0148723501246423	0.219752708077431	0.00101505665224977	0.99939416050911	0.00188062957604416	0.000238628774968674	0.000481281803513411	0.0697515681385994	0.0654867947101593	0.144278902560472	0.028677908051759	0.00257949357619509	0.0281117263250053	0.00274648237973452	0.00432449928484857	0.00480329096317291	0.000601167796412483
"Blood vessels"	0.0591568795964122	9.67207164649153e-05	8.78069069585763e-05	4.74803478937247e-05	8.89291190105723e-05	0.00016446572044515	3.95969789678929e-05	6.72812053380767e-05	7.93842613347806e-05	6.14307204159559e-05	5.61021501198411e-05	0.0459926100447774	5.33900692971656e-05	5.44711283509969e-05	4.13003042922355e-05	4.85553910039016e-05	5.15124655066757e-05	9.02940471860347e-05	5.18873355758842e-05	4.23157356635784e-05	3.98935449993587e-05	5.78655082790647e-05	0.0763312134891748	4.80515082017519e-05	7.13920959242387e-05	6.75137191137765e-05	5.58067900783499e-05	5.03839866723865e-05	4.87947283545509e-05	5.07051387103275e-05	0.000251086660136934	0.000265715339628514	6.09357941357303e-05	0.00703406636603177	6.26471377472626e-05	6.61393019981915e-05	0.000105878271278925	4.67418105472461e-05	8.852902756189e-05	9.68602442299016e-05	5.7147678671754e-05	6.30174115940463e-05	6.14323470592499	0.120384814962745	0.00786873642355204	0.495764531195164	0.00364247291581705	0.1144456140697	0.000526144416653551	0.00165717789204791	0.000830026756739244	0.000108925827589701
"Fornix/LH"	0.328016755729914	0.000925129246024881	0.000650401058373973	0.000504697479482275	0.000640963784826454	0.00141213092720136	0.000600151158869267	0.000628303660778329	0.000390090858854819	0.000567139775375836	0.00075303918129066	0.22241377569735	0.000530290519236587	0.000328280547546456	0.000313740509591298	0.000373304737149738	0.00103604219912086	0.00113388328754809	0.000559893870376982	0.000953572837170214	0.000558042684860993	0.000598657409136649	0.969925448298454	0.000522825194639154	0.000643823342397809	0.000425151323725004	0.000667608973162714	0.000591574913414661	0.000482557738723699	0.000410501562146237	0.000141879928196431	0.000301007757661864	0.000404399628314422	0.0152116231853142	0.000523526126926299	0.000439271783397999	0.000451690424233675	0.000350044930382865	0.000417028964147903	0.00046004798496142	0.00160520263016224	0.000685638035065494	0.196540144830942	0.103567951545119	0.171478612348437	0.00944010301027447	0.0051907904795371	0.0241546705365181	0.0170514117926359	2.59089621305466	0.89393705278635	0.000749682613241021
"Fornix/OT"	0.100181365758181	0.000164657564891968	0.000111006593215279	6.48940847895574e-05	0.000102790038727107	0.000284459404065274	7.53002506826306e-05	9.55003939452581e-05	4.75247221402242e-05	6.57146967569133e-05	6.40945821942296e-05	0.0622514707967639	4.01416551540024e-05	3.23026630212553e-05	3.69829540431965e-05	4.79329830341158e-05	9.30657064600382e-05	0.000132150261197239	6.17686506302562e-05	8.88680773641681e-05	6.27915076620411e-05	6.73784619721118e-05	2.39515700340271	6.84259743138682e-05	9.5960967883002e-05	5.02307299029781e-05	8.27012259833282e-05	7.00158936524531e-05	4.71108185593039e-05	5.04419436765602e-05	5.43746260518674e-05	6.38755715044681e-05	3.99012858906645e-05	0.0480236856266856	3.98881164073828e-05	4.93934079713654e-05	6.01130921495496e-05	4.00287335651228e-05	4.69915798021248e-05	7.40208430215716e-05	0.000140075211675139	9.32049384573474e-05	0.154360899329185	0.267499823868275	0.0949171558022499	0.0157146816141903	0.00443657680880278	0.0238644885830581	0.0158348668366671	3.11836479902267	0.685737344622612	0.000130914547480643
"IMH"	1.22094466686249	0.0065116084413603	0.00722564440220594	0.0124350822530687	0.00858936845324934	0.0227435247972608	0.00826851632446051	0.0065823761979118	0.00654409169219434	0.0390178013592958	0.0189637285657227	0.990853261947632	2.97404434680939	0.0143910371698439	0.00662179130595178	0.101206954568624	0.0130162715911865	0.0139410785865039	0.439859287440777	0.0120512312743813	0.00434387300629169	0.0116252148058265	0.0295773758552969	0.00941285388544202	0.0124831486493349	0.0422743029892445	0.0373078674077988	0.0126596476417035	0.0152865703683347	0.00583673603832722	0.000802781793754548	0.00259353617439047	0.00630393917672336	0.00213071422185749	0.00734513576608151	0.0108937108423561	0.00776430652476847	0.0111578503623605	0.00403160774149001	0.0132556554861367	0.131191843748093	0.0103128727525473	0.0746609039604664	0.0192394717596471	0.34687222391367	0.00651306402869523	0.0029834499116987	0.0170027824118733	0.00576985876541585	0.0857456501573324	0.0428980538621545	0.00678388851229101
"Leptomeningeal"	0.569435796141624	0.00111432752164546	0.000764327956130728	0.000702025649661664	0.000511418962560128	0.00157352167880163	0.000690123136155307	0.000774181880115066	0.00126764237647876	0.00101299393572845	0.00121295516728424	0.384143722802401	0.00154075908358209	0.00118289430974983	0.000609439486288466	0.000749742321204394	0.000902487288112752	0.00145180831314065	0.000833485292969272	0.00117287214670796	0.000629655583179556	0.000926916807657108	3.30385187864304	0.000619706061843317	0.000979027587163728	0.000505592304398306	0.000644662488775794	0.000890746130608022	0.00076220629416639	0.000731007706781384	0.000851313788734842	0.00313663624110632	0.00105806771898642	0.184427183493972	0.000900546443881467	0.00059322767338017	0.00161446143756621	0.00054276254522847	0.00175804193422664	0.000641961720248219	0.000736872077686712	0.000906012750056107	0.163409872725606	0.355572269111872	0.0748573122546077	0.0578028799965978	0.00592179278610274	0.0256072256248444	0.00549729366321117	0.394658949971199	0.11138194296509	0.000580940021609422
"LH"	0.824509838223457	0.00216383080696687	0.00142841733468231	0.001500474193017	0.00126273838977795	0.00299939310061745	0.00159131518448703	0.00147591303975787	0.00156059657165315	0.00194367503281683	0.00312325791455805	0.574646759033203	0.00285670680459589	0.0015854187135119	0.000989261615904979	0.00125336027413141	0.00359832040267065	0.00389416551333852	0.00192084912268911	0.00368568491539918	0.00165634248405695	0.00204509019386023	0.569747845828533	0.00147517037112266	0.00179469693975989	0.00117836260760669	0.00197247872420121	0.0023152957262937	0.00183707826945465	0.00133235748508014	0.000610333768418059	0.00170174169179518	0.00175113211153075	0.0147940295981243	0.00212455501314253	0.00114084214437753	0.00189151314552873	0.00106081285630353	0.0016162121319212	0.00099031685385853	0.00448851842666045	0.00198858033400029	0.454891185462475	0.0823475474491716	0.167495196685195	0.0150448556756601	0.00515928126405925	0.0233578498009592	0.00919384434819221	1.05841698944569	0.342706570029259	0.00146374436153565
"LH/LPOA"	1.76507084667683	0.00792826956603676	0.00469785591121763	0.00673970862990245	0.00432693756883964	0.0101736422395334	0.00730884819058701	0.00481878196587786	0.00399807415669784	0.00785248642787337	0.0227869031019509	1.06483456194401	0.0103864052100107	0.00543001930927858	0.00333606568165123	0.00357650627847761	0.0621102664619684	0.047923727799207	0.0145545474952087	0.154521567001939	0.0076355809927918	0.00928617655299604	0.186554711312056	0.00513501572422683	0.00659340805141255	0.00341772845713422	0.0134673308813944	0.0142494573490694	0.00797081758501008	0.00433507889974862	0.00046992603893159	0.00176515037019271	0.00452703314367682	0.00466070936527103	0.00598400097806007	0.00288792289211415	0.00534210612531751	0.00273547576507553	0.00334795385715552	0.00147407157637645	0.102495495788753	0.00775701428065076	0.096414784155786	0.0498311986215413	0.402281265705824	0.00810718846041709	0.00515030410606414	0.0193970448803157	0.0137327841250226	1.18107962310314	0.565980823338032	0.00471982031594962
"LPOA"	1.18441108763218	0.000417995838506613	0.000320034031756222	0.000356061280763242	0.000334845406905515	0.00101786835002713	0.000430460562347434	0.000280850472336169	0.000294292946637142	0.000492195709375665	0.000941644578415435	0.435738726705313	0.000699141026416328	0.000286287516792072	0.000197489500715164	0.000235038888058625	0.12561234459281	0.00174243023793679	0.000448308463091962	1.92634513676167	1.32463837563992	0.000437294985749759	0.298483168333769	0.000351144883461529	0.000359540357749211	0.000141473061012221	0.000575621557072736	0.000612471786735114	0.00032366769737564	0.000279700660757953	4.2702511382231e-05	0.00021085993394081	0.000313236747024348	0.00277913378085941	0.000335567020374583	0.000191198699758388	0.000376722513465211	0.00023082062289177	0.000374553311849013	0.000193417875561863	0.198924028500915	0.00081070099840872	0.0830124219879508	0.0340938056819141	0.103672714531422	0.00358182851341553	0.00211652728612535	0.00984747798647732	0.00634010650683194	1.33632642626762	0.809373804926872	0.000284012310294202
"LTN"	1.92029272317886	0.126322666555643	0.678528170287609	0.00198938003741205	0.00803149009589106	0.00804783154744655	0.0432848995551467	0.0968200631439686	0.00120667549781501	0.0009223542525433	0.00218500872142613	0.637864238023758	0.00220633501885459	0.000982861292141024	0.00077831191738369	0.000417186128470348	0.0010429386224132	0.00398976106662303	0.000710636709118262	0.00291223797830753	0.000671720391255803	0.00164282237528823	0.0873216953128576	0.000389944591734093	0.000643354230851401	0.000259676830319222	0.000357180530409096	0.00114419363089837	0.000607107699033804	0.000412732979748398	5.40848791388271e-05	0.000681447440001648	0.000963288097409531	0.00342477494850755	0.00134070734493434	4.23189747333527	0.00147047624632251	0.000411905289365677	0.000821267705759965	0.000280043347447645	0.00124429587449413	0.000605224703031126	0.120903974212706	0.263476142287254	0.161716057732701	0.0194556510075927	0.00185471553122625	0.00685815522447228	0.00268818387994543	0.0110466066515073	0.0094787594396621	0.501822684705257
"MAM"	2.05385932326317	0.0217029712162912	0.0141226276988164	0.00794501734199002	0.00196009147912264	0.00923536135815084	0.020887507032603	0.0123731989879161	0.0336857221089304	0.00776415047002956	0.0145375523716211	0.925213812291622	0.24371145889163	0.0136567815206945	0.00739025658695027	0.0060614324407652	0.00217261063517071	0.0180374331306666	0.00629906015237793	0.00861738824751228	0.00203727133921348	0.0211642367299646	0.011564957886003	0.0080162881873548	0.00796994369011372	3.06101885437965	0.00276214084005915	0.0092604496050626	0.00775536505971104	0.00963534882757813	0.000346426590840565	0.0172905893530697	0.332174536585808	0.0031516206858214	0.0181096513289958	0.00377367018372752	0.0387981501407921	0.00363552309572697	0.767800438404083	0.00393768073990941	0.0014625697338488	0.00549086086684838	0.0362394499592483	0.00695645440137014	0.163870207592845	0.00615983721800148	0.00247181233135052	0.00927720332983881	0.00183350728766527	0.000290453118213918	0.00113083841570187	0.00287945799645968
