"C1.1"	"C1.10"	"C1.11"	"C1.12"	"C1.13"	"C1.2"	"C1.3"	"C1.4"	"C1.5"	"C1.6"	"C1.7"	"C1.8"	"C1.9"
"ARC"	0.747081012749923	0.754803545236801	0.00164693011674944	0.0963180708731541	0.110482414210414	0.124733311415458	0.202091672982396	0.0651289881740378	0.0277321937378578	0.349179464103082	0.00420337131469044	0.0105073357221284	0.0244869811980962
"Blood vessels"	0.173217360388914	0.0138050234500668	0.00662927823411117	2.52951723996896	0.404849422132768	0.0226974008560042	0.0235509944151611	0.0765678227942164	0.0142029649808618	0.00444459661546827	0.00565756552526249	0.00940309959229939	0.0310202251516541
"Fornix/LH 1"	0.609880586706979	0.020132516346928	0.0299349807721621	0.0970907471475643	0.0530867421430104	0.0225077369923794	0.16286284220395	1.04795684234109	0.0203344191116264	0.0223921714184043	0.0442374309575857	0.0186812121982505	0.0156435647057091
"Fornix/LH 2"	0.257094125721078	0.0147177216418689	0.0172864591946107	0.113255303178485	0.0992760688954278	0.0223553693685147	0.174625152624601	2.60887510346682	0.0155669435358547	0.00591677111627934	0.0119191497702358	0.0079072012940494	0.00364986799956678
"Fornix/OT 1"	0.924601529241603	0.00592313297597781	0.00813845561638231	0.119450304222688	0.212798453812916	0.0801190343557894	0.095313309367958	1.25727144008027	0.00717448220034001	0.00681480122935523	0.0109145940752544	0.0054149321111228	0.0108298517312344
"Fornix/OT 2"	0.628174090330788	0.00394537625024386	0.00745941309788711	0.0889812917767739	0.108643974618262	0.0480047157944241	0.116172491702828	1.93507345453624	0.0055210527508074	0.00444905215805776	0.00529358502641102	0.00348784716120858	0.00401029393513544
"IMH"	0.821968196410297	0.0740992185141919	0.144145372798099	0.0772114921005881	0.0486522354077854	0.00383770728019148	0.324245143878223	0.130119453544716	0.143636807263134	1.60543333466781	0.227706086194254	0.287167484015029	0.0248484550909237
"Leptomeningeal 1"	1.33993573155595	0.0653620983923246	0.0224848744645549	0.150684806384325	0.152729395474593	0.0528530139673087	0.12223237880769	0.317544806699683	0.0300482908759917	0.0707977207333138	0.0527792695743029	0.0311664335496752	0.0806363451915104
"Leptomeningeal 2"	1.54149433662263	0.00911383436856823	0.00208516703141079	0.272827316057227	0.325344383070065	0.248302973483993	0.0258050817825772	0.179559859618984	0.00514635755918132	0.0148436401126571	0.00611641021703123	0.00405611868006834	0.0473362918615626
"LH 1"	0.809457043541128	0.0726323232070152	0.0343127257284001	0.556112945094157	0.112150510144075	0.0196626712381808	0.153935253284541	0.239760204325724	0.0574389375643771	0.0667098264841988	0.0798241111257691	0.06361997808947	0.0645802094028889
"LH 2"	0.997531884585142	0.022077632414063	0.0446444716783919	0.0857282602242196	0.04500964618887	0.0164348311310491	0.179417489829109	0.463317233033107	0.0312218316999975	0.0409450741235505	0.0992693223294414	0.034806052492973	0.031543438476783
"LH 3"	0.434445745621513	0.018227231229556	0.0222238949957495	0.497859297549907	0.138010194294654	0.0263327281397843	0.148123400866051	1.1347137191709	0.0258776220329851	0.0181755024339525	0.0346831845830036	0.0213683238963887	0.0161816212018961
"LH 4"	0.755438719322249	0.0122378787476335	0.117180866897966	0.125751623725452	0.0786339545345133	0.0146908274436724	0.298789809078743	1.35870754675994	0.0615652046502367	0.0369072114493565	0.251761937518673	0.0688435019289674	0.0195529928386169
"LH/LPOA"	1.20877779375279	0.0297449110119378	0.146687421231667	0.0909565166145969	0.066057114447177	0.0095165835641991	0.401647335371634	0.847769694088207	0.117889362835028	0.102929991465679	0.542458915121383	0.151237826104208	0.0549417201871514
"LPOA"	0.768325302852279	0.00174868121648935	0.450524596425249	0.127874473229324	0.0413301165772961	0.00676128515876835	0.133183858823635	1.04852973774261	0.00730600585314115	0.00205268125514126	1.96634662633924	0.00493770802067881	0.00171673592110588
"LTN"	1.53720080602042	0.235604476101378	0.128342655661331	0.195438631891326	0.308131704549037	0.0111062000275066	0.430328741358884	0.0898513222838912	3.23390714380335	0.43888382645702	0.235560457284087	0.0390023522875115	0.0101541928485426
"MAM"	1.31373385508855	0.858338123857975	0.0021483667147307	0.0834731377453621	0.0292475755315778	0.0051583503697475	0.236646811335037	0.000452895063329682	0.358135402376453	0.283692538154622	0.0477655796986073	1.47401763697465	0.00305053145275451
"ME"	0.0427975459916	0.0401335888784332	0.00074132059941086	0.536398670165013	0.440595204788032	0.292306202478997	0.0283935104877897	0.0263525171090413	0.00118633656084934	0.00739727402507509	0.000216099300418847	0.00584858015469947	0.00359001047503802
"MedHy 1"	0.749373077806704	0.25411854635861	0.0597544622338195	0.129949000204783	0.100525021468927	0.0184143912656656	0.20127347047855	0.27704595689552	0.132634325994738	0.363787763020502	0.228331719012091	0.174598120942877	0.110867665831921
"MedHy 2"	1.75999418478855	0.3611013175281	0.0643250832377938	0.10710981825668	0.0707372024386767	0.0120343591690311	0.416755175463954	0.190240178757636	0.195420594502943	0.369594224960837	0.270099923200224	0.206783749701914	0.102542782517524
"MedHy 3"	1.13985574599253	0.399605836963161	0.103609123516144	0.0892160562943669	0.0645108346071137	0.00650688068023385	0.386129805999966	0.264531608903932	0.229583688568518	0.501743613248909	0.407820337623082	0.315075695029931	0.103310159880467
"MedHy 4"	1.45695295589697	0.109598108939795	0.0376609225322855	0.0949078208069469	0.0915252896389226	0.0193776705784499	0.214727027750408	0.176235237962888	0.082712956134489	0.170711212181383	0.149454661704186	0.0929999828014259	0.0744919904146178
"PVN/SON"	0.614446894314732	0.0259595497087183	0.0149962434775963	0.495669690348435	0.19054852452954	0.0330424553043084	0.0579411444287398	0.0699992139201112	0.0153162303634349	0.0460618928536175	0.021176334273808	0.00779422083071025	1.29668779221657
