"C1.1"	"C1.10"	"C1.11"	"C1.12"	"C1.13"	"C1.2"	"C1.3"	"C1.4"	"C1.5"	"C1.6"	"C1.7"	"C1.8"	"C1.9"
"ARC"	0.6999371945858	0.667511543631554	0.000186743086669594	0.0486880730837584	0.0793183896690607	0.0397050870582461	0.164443835616112	0.009961748868227	0.00347551439190283	0.291117437183857	0.00109648745856248	0.00153323523118161	0.00196561616612598
"Blood vessels"	0.091041699424386	0.000111355554690817	0.000176889161230065	2.21619652509689	0.230437517911196	0.00139180809492245	0.00538021277170628	0.00101918635773472	0.000484871167282108	0.000127625023014843	0.000233967451640638	0.000180133899993962	0.000102866700399318
"Fornix/LH 1"	0.576209285855293	0.00150407153414562	0.0108876124490052	0.075136898458004	0.0277776219882071	0.0094068830832839	0.102806919440627	0.966363754868507	0.00372371285920963	0.00232227937085554	0.00545967095531523	0.00183768887654878	0.0012211098568514
"Fornix/LH 2"	0.236183588206768	0.000571553711779416	0.00577251790091395	0.08308320119977	0.0642541117966175	0.0125697907060385	0.13708331361413	2.59545387029648	0.00245667159324512	0.000550332956481725	0.00108871440170333	0.000594243872910738	0.000166207770962501
"Fornix/OT 1"	0.870098802447319	0.000125617352387053	0.000386816344689578	0.0802680719643831	0.153349456191063	0.055987558607012	0.0520330627448857	1.25569619238377	0.000377076482254779	0.000220410636393353	0.000373202719492838	0.000169058807296096	0.000258461037446978
"Fornix/OT 2"	0.585632932186127	0.000127171858912334	0.000566202143090777	0.0590756772086024	0.0766525309532881	0.0277446961961687	0.072185567393899	1.8934372484684	0.00039357153873425	0.000179872987791896	0.00031233553745551	0.000153619514458114	8.17991374788107e-05
"IMH"	0.82636750638485	0.0347820520401001	0.135180905461311	0.0409475393593311	0.0167857676744461	0.00108399383025244	0.301172928512096	0.0759099211543798	0.124055034667253	1.57334707379341	0.148039343953133	0.269782952964306	0.00174889142508619
"Leptomeningeal 1"	1.25997751057148	0.00466375660616905	0.00595899083418772	0.0989211354404688	0.0839597277343273	0.0238277956843376	0.079591673053801	0.277572466433048	0.00687992838211358	0.010506719793193	0.0139773384900764	0.00396302477456629	0.00461067882133648
"Leptomeningeal 2"	1.49747245311737	0.00017583965054655	0.00014841307165625	0.167112090811133	0.260747132450342	0.210292818024755	0.00995894046500325	0.0750747283920646	0.000266367552831071	0.000524054036941379	0.000566267460817471	0.000201927157104365	0.0016395219397964
"LH 1"	0.770700921118259	0.00669327933574095	0.0141871835105121	0.43242429047823	0.04864716026932	0.00686401277780533	0.0991914108395577	0.195492504164577	0.0168938752263784	0.0138450376223773	0.0249066271819174	0.00963423298671841	0.00842365599237382
"LH 2"	0.955956515669823	0.00316066596424207	0.0228192959912121	0.062871952354908	0.0192959330044687	0.00728546215686947	0.116695852205157	0.402953064441681	0.0091552768368274	0.00783790969289839	0.0313925165683031	0.00496314575430006	0.00445715892128646
"LH 3"	0.402854139357805	0.00129617771308403	0.00677906419150531	0.414970955997705	0.0804969850927591	0.0109260158380494	0.0956642178818583	1.05118642151356	0.00361944148316979	0.00161349521658849	0.00359948129625991	0.00165797376539558	0.00108392395195551
"LH 4"	0.737414675951004	0.00104444546159357	0.102522252500057	0.0826697289943695	0.0495982622727752	0.00682901944965124	0.270289874076843	1.35191457271576	0.0357704896479845	0.00312631634296849	0.195575632154942	0.0123097820207477	0.000678297466947697
"LH/LPOA"	1.20944786071777	0.004355466470588	0.131060433760285	0.0545038791373372	0.0383225277997553	0.00534498753258958	0.378492570668459	0.822899121046066	0.0801311392337084	0.0342487891204655	0.512873113155365	0.0662940880283713	0.00253678816370666
"LPOA"	0.768059700727463	0.00030606731743319	0.391553238779306	0.0835604378953576	0.0174578279256821	0.00343148110550828	0.0998955683782697	1.00186393558979	0.000606026987952646	0.000662545984960161	1.72919690012932	0.000620807707309723	0.000152811666339403
"LTN"	1.43061704337597	0.178900362923741	0.106071867980063	0.112128701247275	0.249807919561863	0.00404115908313543	0.379581271857023	0.0238182522822171	2.91954145431519	0.397542687505484	0.15414561368525	0.0178560313768685	0.00149009758024476
"MAM"	1.30492676794529	0.832930420339107	0.00122162844636478	0.0245743785053492	0.00488899035844952	0.00313977636396885	0.214329591020942	0.000204408535500988	0.366605517268181	0.243029271438718	0.0381086628884077	1.4853954911232	0.00199761000694707
"ME"	0.0116718812379986	2.93678712296241e-05	0.000112448598156334	0.41680980026722	0.410776793956757	0.295957934856415	0.0171999046579003	0.000754634759505279	4.42558659415226e-05	2.49166856519878e-05	4.36885398812592e-05	0.000760717008961365	3.10070325213019e-05
"MedHy 1"	0.709810268878937	0.0827193364501	0.0125812341924757	0.0735301874577999	0.0481418374925852	0.00491620937827975	0.152557486668229	0.145400985330343	0.0793804563581944	0.204572846740484	0.0835054349154234	0.0638497520238161	0.0154730796813965
"MedHy 2"	1.68198501765728	0.22104813605547	0.0335861966013908	0.0583426116965711	0.0391492439433932	0.00494797982973978	0.37817847058177	0.11794175542891	0.153180914744735	0.291653513908386	0.180591920763254	0.142924407497048	0.0039682281552814
