"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"ARC"	1.29155668900427	0.00245417152150196	0.00170052963487708	0.00128525338699574	0.00157055633166597	0.00291677551144031	0.00152036560718672	0.0030044829090033	0.219260945439014	0.0036838335013611	0.00204283333141072	0.629546709233568	0.00364872870394265	0.127852923516009	0.180931359072289	0.0613373337263622	0.00145437045410618	0.00260401390470487	0.00315056762051124	0.000976052931276373	0.00154309125832189	0.00238018644420873	0.197845089612837	0.00111576202371064	0.00332514032884284	0.103781893364245	0.0012413963819344	0.00121602428168336	0.0027025812070039	0.00436434939610383	0.0463200297887922	0.34326144667323	0.0203876597103593	0.223082517370211	0.0253832907634832	0.105238387889765	0.350142393008514	0.0102312073170946	1.37003447817398	0.0277695667131329	0.00112056556195586	0.00168988994246464	0.176936308716717	0.1377230735922	0.209453227301022	0.0836766983514568	0.0103634339120035	0.108615782410152	0.0102251877221604	0.0737191689965637	0.0603558157438705	0.00214290447825073
"Blood vessels"	0.111707967663772	0.000565017460077731	0.00135115449123404	0.000371147875814074	0.00248896334450946	0.00254024810495159	0.000627128903470682	0.00135888532029793	0.00201458325905009	0.000659641701888966	0.000762598686331445	0.0910140070361494	0.00131561715569301	0.00116789612712909	0.000680467640696833	0.0010638032441094	0.00187606349118984	0.00099365311593489	0.000782902972856605	0.000916127578626465	0.0022971362973905	0.000533656646848465	0.454796234662726	0.000517242712764847	0.00089234091105031	0.00385052890923068	0.00213020747343505	0.00108649215823816	0.00225199563543684	0.00141389438130546	0.0424158189693545	0.0349573986908744	0.00153014119006712	0.0593506878615701	0.0090078504190912	0.00355867504604305	0.00331803410721075	0.00433555179970751	0.00852885330441617	0.0085072723654954	0.00414748322678793	0.00066391313483977	6.7311431486601	0.263219118224129	0.0242149449397123	0.825517396647656	0.0166570981865889	0.287335695289495	0.00496021648765064	0.143795077793634	0.0375085195043442	0.0046435919411682
"Fornix/LH 1"	0.502582632465875	0.00287416840464224	0.0024758910160631	0.00193304685111814	0.00327165370732317	0.00413812340400398	0.00403678095205724	0.00217650187738318	0.002128588319129	0.0023625582556822	0.00819275686889587	0.34341740993805	0.00575298238562217	0.00388605955982551	0.00201225351530428	0.00187751868569848	0.0442835178177235	0.0063461262969999	0.00246334878405625	0.0150151783126236	0.00960836769862328	0.00289408420401038	1.07959832256724	0.00258748423447572	0.00210725127983676	0.00352071414718977	0.00527028849473934	0.00515067840055718	0.00494083228818484	0.00259227273453874	0.00883762599233478	0.0129380567217401	0.0042359306729981	0.0306249398310437	0.00343113287356511	0.00216374043932001	0.00267162088956998	0.0182981066049315	0.00368771031140497	0.0152842647741133	0.019614173031589	0.00417093353621084	0.231194535868979	0.12772506840245	0.236182255191451	0.0146336954926094	0.00940118884582555	0.0269335977078776	0.0295867351285696	2.21861893962966	0.798816198806696	0.00351331317552314
"Fornix/LH 2"	0.119750167245371	0.00140572649209802	0.00103717464913862	0.000645702616595108	0.00213770819484807	0.00234226719528706	0.00172433539097468	0.00103780620265652	0.000357393084409612	0.0010198324258266	0.000777448054873525	0.0735332147030442	0.00131927769926359	0.000928053651200358	0.000523547199422379	0.000795183991359371	0.00796187683554608	0.00216996738471812	0.000685092341911132	0.00349974240929569	0.00340155483820957	0.000899834449844039	0.877678373089113	0.00080405231911181	0.000863452156745078	0.00188971528091458	0.00389019620358441	0.000958046176524653	0.000795218129610593	0.00073486987864047	0.00180992006021785	0.00253572910850991	0.000844917208061595	0.01909504776164	0.000992142223257248	0.000788615076069812	0.000559450338387275	0.0103375481014733	0.000748779988871826	0.0179965606319719	0.00867079599560569	0.000915515718041494	0.276602716177979	0.209264764951702	0.242718045833878	0.0157903280369019	0.00882457523151087	0.0397685436460775	0.0485082481576339	4.69176703289968	1.85598142288139	0.00342967469469233
"Fornix/OT 1"	0.257020510531671	0.00122249087337723	0.000808229416651138	0.000533398417631371	0.00116315987523649	0.00214636331806173	0.00139125244261484	0.000811860385643343	0.00149658103729728	0.00124956632592482	0.00110345683203161	0.150824805376532	0.00147000781554367	0.000819056438460017	0.000704332781294586	0.000666105742652447	0.00546381517389857	0.0023590041295794	0.000863700501774978	0.00309999085729667	0.00219099479944802	0.000823211132516245	3.04339345092049	0.000893848246783215	0.00100263668212937	0.00103404179927232	0.00178083519630941	0.00279581069672164	0.00162990561282222	0.000735727329639713	0.0102594089460831	0.0102188984868005	0.00067679588749198	0.138345267157078	0.00131496854218934	0.00111020969556599	0.00116992876919253	0.00170112133248238	0.00354240695166486	0.00292714260449522	0.00611613081481266	0.00245665209147694	0.225504647578473	0.472235339039688	0.133316636130063	0.0493518881533742	0.00865786890309692	0.0306876238869716	0.0268545894967152	2.52847272144965	0.638294335920364	0.00152944806674543
"Fornix/OT 2"	0.209014410682718	0.000970871153182673	0.000599049350799123	0.000425050880316878	0.000891085968870295	0.0014326322883669	0.000865490971152984	0.000616993669441935	0.000352267633708645	0.000465192995605742	0.000578551543956239	0.10976148897631	0.000621304960519145	0.000411949815884272	0.000425572132066612	0.000474032696586882	0.00347139387299348	0.00112339648324984	0.00048749072340409	0.00122567354289923	0.00147106129040919	0.000481983954770752	2.05561765804149	0.000670828900105727	0.00078643488125074	0.000602317228458179	0.000855658138784216	0.000791648316877844	0.000662130825807787	0.000512351684831252	0.00265223960440134	0.00355228373628627	0.000463556781086488	0.0526273184929501	0.000646655684193932	0.000447683730920844	0.000465785871876049	0.00353599947811156	0.000840281306036316	0.00163038235895144	0.00417464094130085	0.000911959802792854	0.222364505280307	0.253709304317829	0.179791275706649	0.0202544951398654	0.0101207390018648	0.033331265444426	0.0371875000684623	4.18639798520141	1.09507383531583	0.00124177052936428
"IMH"	1.24494314423544	0.00832642835648313	0.0159325159626285	0.0338137625467	0.0290940547540358	0.0436896430353393	0.0159883939871328	0.0114382110327014	0.0156321190059416	0.215526889679914	0.0276436424778255	1.03134669513252	2.99163189565309	0.0282456017307826	0.00970763282975488	0.209504180328645	0.0519201519297881	0.0229721654364631	0.613410617112048	0.0317565820489741	0.0136586137726484	0.0231183874253728	0.0593138145868995	0.0149488508388567	0.0289321748271355	0.128005860435292	0.123561450058365	0.0183858632850252	0.0869433069931788	0.00730217835883001	0.0228611458823709	0.00722373326604987	0.0140325462494268	0.00745052538647963	0.0152109905502114	0.0259862773089707	0.0138775415759532	0.0293142373647555	0.00475966340745075	0.0438816022130473	0.179890673738048	0.0234571421661111	0.151708465710801	0.065376128662095	0.393136335686961	0.0237232674702953	0.00527362985587424	0.024046705113388	0.0164985984647809	0.176105601469834	0.0837518516646765	0.0162455745952132
"Leptomeningeal 1"	0.998655610419563	0.00679224957608144	0.00378513598532204	0.00329567887687458	0.00383228482379156	0.00666574412993285	0.00557894796408277	0.00431429155987821	0.0594604613401586	0.0134710327156606	0.00945053092742642	0.745699726012832	0.021695270118578	0.0134495951276704	0.0119882529902873	0.00912875498357009	0.0220251133696036	0.0107982459698804	0.00418874451284004	0.0157366335574166	0.0127588924789979	0.0058444425704444	2.46951123580301	0.00553229084676413	0.0111290987419306	0.00780854191467303	0.0103014281431604	0.0179772359452404	0.0120936058492317	0.0105321831539046	0.0873136305000844	0.0976873428410314	0.0121144220725963	0.16099996761279	0.013944676904334	0.0129159631011673	0.0181356917314167	0.0309545320424641	0.03629896861323	0.0396997701846918	0.0160792295069021	0.00627211385655073	0.268108879479774	0.34047047665655	0.169788859264739	0.0709934677996273	0.0120377989548267	0.0319413908692124	0.0157292906862527	0.6336310708769	0.218085703343175	0.00362655477129527
"Leptomeningeal 2"	0.161279110158187	0.00137434495206081	0.000897380556076914	0.000401377638693702	0.000477651275543332	0.00203631280265857	0.000944381388123514	0.00058002532885627	0.00566755194872192	0.000798999628417185	0.000590718505130651	0.101156680527605	0.00292530533148194	0.00561518675466909	0.00252702702122617	0.00255412754045452	0.00152657951741179	0.00189383733314264	0.000445272069716212	0.00109232244170769	0.00154250674862608	0.000862503900678562	6.42077545366366	0.000654052060925195	0.00159495565110828	0.000731219111117989	0.00183696390249936	0.00180709507073226	0.000941767475608825	0.000825706360199453	0.0736431515918495	0.0665891136641509	0.00140133416118414	0.547227244048883	0.000690124568521807	0.00206349358767753	0.00632765419915192	0.00196968025861263	0.0105229155703716	0.00658188262208818	0.000921869358540713	0.00100422269794899	0.498462542122219	0.753076852169627	0.0264533099239663	0.210679547779038	0.0120801368620799	0.0453777230976466	0.00935063296928259	0.316803888576768	0.0902830685786451	0.00110931837199899
"LH 1"	0.899421377034899	0.00800119623614558	0.00822379849478382	0.00748787075032031	0.00705620267458804	0.0122013473021727	0.0065754292571291	0.00753265575826283	0.0191412630184748	0.019687798298482	0.019273530414233	0.70967850987159	0.0221482297840554	0.0142818949488222	0.0115852400747712	0.0107096027222737	0.0246004922882841	0.0168101823298776	0.0110236513898061	0.0199415700929797	0.0129292391868828	0.009409432714231	0.650459726587363	0.0081516385464388	0.0128909365396848	0.0191417783544306	0.0142942929422696	0.0127323376089119	0.0273169940700606	0.0099298172684206	0.0555266975772129	0.0453163908141544	0.0178338784600072	0.0492680393540271	0.064238147800981	0.0158512366808085	0.0179370980913438	0.0269111372610119	0.0148562968567356	0.0299564863038764	0.0278179345790178	0.00776548244262698	1.34079972883273	0.158180958862958	0.201561190287776	0.108401188938759	0.0130304219389896	0.0465912386285124	0.0152868877522493	0.474375280366377	0.163775371407286	0.00768941549674825
