"C2.1"	"C2.10"	"C2.11"	"C2.12"	"C2.13"	"C2.14"	"C2.15"	"C2.16"	"C2.17"	"C2.18"	"C2.19"	"C2.2"	"C2.20"	"C2.21"	"C2.22"	"C2.23"	"C2.24"	"C2.25"	"C2.26"	"C2.27"	"C2.28"	"C2.29"	"C2.3"	"C2.30"	"C2.31"	"C2.32"	"C2.33"	"C2.34"	"C2.35"	"C2.36"	"C2.37"	"C2.38"	"C2.39"	"C2.4"	"C2.40"	"C2.41"	"C2.42"	"C2.43"	"C2.44"	"C2.45"	"C2.46"	"C2.47"	"C2.48"	"C2.49"	"C2.5"	"C2.50"	"C2.51"	"C2.52"	"C2.6"	"C2.7"	"C2.8"	"C2.9"
"ARC"	1.18520525097847	0.000780182136804797	0.00059256793174427	0.000498268344381359	0.000351216724084224	0.00111571338493377	0.000378877349430695	0.000870288925943896	0.0593537040054798	0.00113004604354501	0.000763221699162386	0.533968889713287	0.00109270270331763	0.015109800780192	0.0342312354594469	0.00490058232098818	0.000308160223357845	0.000669923523673788	0.000959081936161965	0.000347685794986319	0.000306103353796061	0.000780955908703618	0.061199071444571	0.000433589627209585	0.000819817269803025	0.0219297840259969	0.000374868931248784	0.000487537954177242	0.0008159911056282	0.000765357131604105	0.00664391245227307	0.289266800880432	0.00202898292336613	0.0161999009549618	0.00110503373434767	0.0148723501246423	0.219752708077431	0.00101505665224977	0.99939416050911	0.00188062957604416	0.000238628774968674	0.000481281803513411	0.0697515681385994	0.0654867947101593	0.144278902560472	0.028677908051759	0.00257949357619509	0.0281117263250053	0.00274648237973452	0.00432449928484857	0.00480329096317291	0.000601167796412483
"Blood vessels"	0.0591568795964122	9.67207164649153e-05	8.78069069585763e-05	4.74803478937247e-05	8.89291190105723e-05	0.00016446572044515	3.95969789678929e-05	6.72812053380767e-05	7.93842613347806e-05	6.14307204159559e-05	5.61021501198411e-05	0.0459926100447774	5.33900692971656e-05	5.44711283509969e-05	4.13003042922355e-05	4.85553910039016e-05	5.15124655066757e-05	9.02940471860347e-05	5.18873355758842e-05	4.23157356635784e-05	3.98935449993587e-05	5.78655082790647e-05	0.0763312134891748	4.80515082017519e-05	7.13920959242387e-05	6.75137191137765e-05	5.58067900783499e-05	5.03839866723865e-05	4.87947283545509e-05	5.07051387103275e-05	0.000251086660136934	0.000265715339628514	6.09357941357303e-05	0.00703406636603177	6.26471377472626e-05	6.61393019981915e-05	0.000105878271278925	4.67418105472461e-05	8.852902756189e-05	9.68602442299016e-05	5.7147678671754e-05	6.30174115940463e-05	6.14323470592499	0.120384814962745	0.00786873642355204	0.495764531195164	0.00364247291581705	0.1144456140697	0.000526144416653551	0.00165717789204791	0.000830026756739244	0.000108925827589701
"Fornix/LH 1"	0.436647596955299	0.00109874922782183	0.000767926772823557	0.000649914963287301	0.0007056189206196	0.00164111586054787	0.000736355932895094	0.000756734010064974	0.000559857685584575	0.000745140895014629	0.00103166102198884	0.302356827259064	0.000804872225853615	0.000485190849576611	0.000411568149866071	0.000491200888063759	0.00149126786855049	0.00144587187678553	0.000721573969349265	0.0012728575267829	0.000715202940045856	0.000772358913673088	1.02646687030792	0.000651009433204308	0.000803317580721341	0.000530063628684729	0.000811952649382874	0.000779868068639189	0.000623492852901109	0.000525962057872675	0.000176776020089164	0.000550466368440539	0.000576766117592342	0.0169234986416996	0.000725928458268754	0.000561368369380943	0.000641028056270443	0.000420138194749597	0.000581803181557916	0.000533705850830302	0.0019292283046525	0.000855086979572661	0.187977339327335	0.0903767462819815	0.164704369753599	0.00929229566827416	0.00517140994779766	0.02180465310812	0.0142384115606546	2.16440017223358	0.716532644629479	0.000804483456886374
"Fornix/LH 2"	0.093988885357976	0.000581648389925249	0.000405311155191157	0.000245625471143285	0.000480049184989184	0.000920418297755532	0.000321754186006729	0.000362919784674887	0.000109640596565441	0.000230113044381142	0.000247412011958659	0.05926508679986	0.000125658323668176	8.40651289763628e-05	0.000124199880156084	0.000155183507013135	0.000435788837785367	0.000511058387928642	0.000226067498442717	0.000396739746793173	0.000290075942757539	0.000251452886732295	0.834329387545586	0.000278093371889554	0.000327755491889548	0.000217335357592674	0.000400430240551941	0.000262283328629565	0.000182690410292707	0.000174395963404095	8.58347197208786e-05	6.41569484287174e-05	0.000120921241978067	0.0118008389137685	0.000169985223328695	0.000202631040883716	0.0001294724890613	0.000171367788425414	0.000115373015432851	0.000246379990130663	0.00104642894584686	0.000352305722481106	0.222001679241657	0.150523501634598	0.184628086537123	0.00979024819098413	0.00521572998259217	0.0324864767491818	0.0266579741612077	4.50224933624268	1.71751819252968	0.000617851145216264
"Fornix/OT 1"	0.0894824128597975	0.000153775450598914	0.000104348894092254	6.3592807873647e-05	8.97567408173927e-05	0.000253056234214455	7.19492871212424e-05	8.99796048543067e-05	5.27574722582358e-05	6.60707362840185e-05	6.32024091828498e-05	0.0565040471032262	4.21146188273269e-05	3.59214611307834e-05	3.70001521332597e-05	4.81794641927991e-05	8.62594808495487e-05	0.000122925744472013	5.94838175857149e-05	8.34149886941304e-05	5.62489291951351e-05	6.65224477415905e-05	2.85934545993805	6.54163988656364e-05	9.29155436097062e-05	4.72345912385208e-05	7.52899593862821e-05	6.80941606333363e-05	4.60890784779622e-05	5.04074237142049e-05	7.32953334591002e-05	9.12910716579063e-05	4.35280117926595e-05	0.08624964710325	3.89628199627623e-05	4.76465032988926e-05	6.61057130855624e-05	3.78638953407062e-05	5.28748458236805e-05	7.04826470609987e-05	0.000120317896107736	8.98441432582331e-05	0.147292546927929	0.355089667439461	0.0767108079046011	0.0213591816369444	0.00384928793064319	0.022045562043786	0.012415392533876	2.50895529389381	0.538824179768562	0.00011281771967333
"Fornix/OT 2"	0.113656431436539	0.000189000317914179	0.000127777247689664	6.71225705445977e-05	0.000131930987845408	0.000338732221280225	8.3902111146017e-05	0.000107277583083487	4.04822851123754e-05	6.52850852929987e-05	6.59027620713459e-05	0.0713056094944477	3.57609309503459e-05	2.74234605967649e-05	3.69301285900292e-05	4.76655890452093e-05	0.000106395393959247	0.000154907086107414	6.56535623420496e-05	9.9599647364812e-05	7.5236380143906e-05	6.86475501424866e-05	1.91909511685371	7.36133712052834e-05	9.97854222077876e-05	5.66553837415995e-05	0.000100371722874115	7.29411367501598e-05	4.94722749863286e-05	5.09027604493895e-05	3.7106659510755e-05	4.07349916713429e-05	3.50119074937538e-05	0.0236190116032958	4.16648681493825e-05	5.30844321474433e-05	4.97850505780662e-05	4.49187116828398e-05	3.6884756082145e-05	8.36316696222639e-05	0.00019344755273778	0.00010086203328683	0.1651815995574	0.192494474351406	0.13108286857605	0.0114015781786293	0.00532932383939624	0.0269105915911496	0.021591049619019	4.02272393703461	1.00378662347794	0.000175783663871698
"IMH"	1.22094466686249	0.0065116084413603	0.00722564440220594	0.0124350822530687	0.00858936845324934	0.0227435247972608	0.00826851632446051	0.0065823761979118	0.00654409169219434	0.0390178013592958	0.0189637285657227	0.990853261947632	2.97404434680939	0.0143910371698439	0.00662179130595178	0.101206954568624	0.0130162715911865	0.0139410785865039	0.439859287440777	0.0120512312743813	0.00434387300629169	0.0116252148058265	0.0295773758552969	0.00941285388544202	0.0124831486493349	0.0422743029892445	0.0373078674077988	0.0126596476417035	0.0152865703683347	0.00583673603832722	0.000802781793754548	0.00259353617439047	0.00630393917672336	0.00213071422185749	0.00734513576608151	0.0108937108423561	0.00776430652476847	0.0111578503623605	0.00403160774149001	0.0132556554861367	0.131191843748093	0.0103128727525473	0.0746609039604664	0.0192394717596471	0.34687222391367	0.00651306402869523	0.0029834499116987	0.0170027824118733	0.00576985876541585	0.0857456501573324	0.0428980538621545	0.00678388851229101
"Leptomeningeal 1"	0.885973334312439	0.00213214828982018	0.00145361065515317	0.00145506818953436	0.00102157321525738	0.0028459188179113	0.00144349266192876	0.00156127179507166	0.00249030258855782	0.00217148045776412	0.00274110734462738	0.626217842102051	0.00349819080438465	0.00224263305426575	0.0011984122073045	0.00146733287547249	0.00227784451562911	0.00310607241699472	0.00180624919594266	0.00261105209356174	0.0013712450832827	0.00202417830587365	2.28513800501823	0.00127952721086331	0.00185036815528292	0.00111905980738811	0.00135121071070898	0.0018674894963624	0.00170914767659269	0.00146193959808443	0.00097679238388082	0.0047875966061838	0.00233426467166282	0.119161925464869	0.00219188181799836	0.00125981588498689	0.00299999094568193	0.00114640047540888	0.00297614119481295	0.00126340003043879	0.00183570542722009	0.00180250787816476	0.161168034747243	0.216793531551957	0.123411925509572	0.0318378524854779	0.00623651914065704	0.02383997538127	0.00722334805177525	0.577716867625713	0.175714332982898	0.00115597380499821
"Leptomeningeal 2"	0.0752542890608311	0.000122798127085844	8.87090378455468e-05	6.22282168478705e-05	5.07946551806526e-05	0.000179917738569202	6.17429315752815e-05	7.87217377364868e-05	0.00019032247364521	8.89524812009768e-05	7.49487435314222e-05	0.0449554685503244	0.000110949995723786	0.000155279640239314	7.28457825971418e-05	8.94226166565204e-05	5.95573394093663e-05	0.000106385617436899	6.46455306196003e-05	6.8385502709134e-05	5.71336658140353e-05	7.15322697942611e-05	6.18526664972305	5.93384136664099e-05	0.000112881243330776	4.19745357248758e-05	4.87365256958583e-05	6.84738239215221e-05	5.3552829012915e-05	8.72227765285061e-05	0.000644625711720437	0.00118100105319172	0.000107650878089771	0.397818003594875	4.34513704931305e-05	5.38344404048985e-05	0.000279025726194959	6.05734892815235e-05	0.00030744370087632	8.1782082816062e-05	3.82319773962081e-05	9.21677685255418e-05	0.171193613111973	0.641378121078014	0.00838209479115903	0.137604829668999	0.00522239024285227	0.0295058730058372	0.00236314552021213	0.100818834453821	0.0238802273757756	6.11494188888173e-05
"LH 1"	0.835876449942589	0.00268700889428146	0.00206859530298971	0.00221297245589085	0.00166681068367325	0.00390720394207165	0.00193661330849864	0.0021505666023586	0.00302726463996805	0.0030963807948865	0.00439044943777844	0.645835891366005	0.00515043014893308	0.00315167201915756	0.00173806660459377	0.00226253737928346	0.00332752726972103	0.004645165882539	0.00293461303808726	0.00365411162492819	0.00208762773545459	0.00317046120180748	0.480796027928591	0.00196441014122684	0.00258279559784569	0.00203125370317139	0.00233017419232056	0.00302680625463836	0.00297844916931354	0.0021479063667357	0.00242134075378999	0.00488565483829007	0.00350920471828431	0.0215872232336551	0.00395484522450715	0.00196640533104073	0.00359687292948365	0.00171132134564687	0.00316708170576021	0.00183884413854685	0.00341006747330539	0.00262389958952554	1.02056142389774	0.0817540006712079	0.135632836073637	0.0350669408217072	0.00589175039203838	0.0295057604089379	0.00598773275269195	0.431341794878244	0.127027388289571	0.00168524010223337
"LH 2"	1.09318667650223	0.0023782015312463	0.00160634731291793	0.00179307867074385	0.001262563013006	0.00330007972661406	0.00187923803459853	0.00173447243287228	0.00202221972867846	0.00242738981032744	0.00398229364072904	0.815571400523186	0.00390504511306062	0.00208821531850845	0.00122370305471122	0.00152581749716774	0.00416669195983559	0.00478416925761849	0.00233989843400195	0.00425696934107691	0.00179961551912129	0.00252557374769822	0.600064092874527	0.0015534647507593	0.00207457325886935	0.00132237731013447	0.00201707124942914	0.00278079526033253	0.00225971952313557	0.00158148001064546	0.000636439447407611	0.00230597527697682	0.0022954287356697	0.0143644522875547	0.00298215494258329	0.00134784929687157	0.0023540040710941	0.0011978792026639	0.00201229400699958	0.00104730073944666	0.00476584839634597	0.00218409789958969	0.133904064446688	0.0531884664669633	0.173651175200939	0.00815389337949455	0.00482899167109281	0.0161228749901056	0.00785168469883502	0.878688085079193	0.278950114548206	0.00139928279095329
