cluster_id	cluster_name	region	mad_x	abundance	region_final	col
C3-1	C3-1 Astrocytes-1	VMH	5.30920958089668	0.417465434319773	VMH	#26FFBE
C3-26	C3-26 Pre-1 GABA-1 SEMA3C	LTN	261.564368830161	0.415215853233665	LTN	#179924
C3-27	C3-27 Pre-1 GABA-1 PRKCH	VMH	3.0300481038183	0.0157032161537982		
C3-28	C3-28 Pre-1 GABA-1 KCNH8	VMH	3.99684370554833	0.0159231906477032		
C3-29	C3-29 Pre-1 GABA-2 EYA2	LTN	28.5293803950092	0.084053322776658	LTN	#179924
C3-30	C3-30 Pre-1 GABA-2 SLC22A10	LTN	348.469217857617	0.952879392002471	LTN	#179924
C3-31	C3-31 Pre-1 GABA-2 CXCL14	LTN	12.9164720592089	0.0391130159355548	LTN	#179924
C3-32	C3-32 Pre-1 GABA-3 PRDM16	Vent 1	6.61728007059081	0.0222273749814934	Vent	#CC1FBB
C3-33	C3-33 Pre-1 GABA-3 PAX6	LTN	28.2703361322537	0.0990864521913663	LTN	#179924
C3-34	C3-34 Pre-1 GABA-3 CRH	LH/LPOA	1.98753385950394	0.0175813488073314		
C3-35	C3-35 Pre-1 GABA-3 TBL1Y	IMH	44.8012664224085	0.0589337247818829	IMH	#889945
C3-36	C3-36 Pre-1 GABA-4	LTN	3.10611443679222	0.0152932148854763		
C3-37	C3-37 Pre-1 GABA-5	LTN	3.01691376530879	0.00943565262386208		
C3-38	C3-38 Pre-1 GABA-6	LTN	12.3446461606928	0.0620135203889899	LTN	#179924
C3-39	C3-39 Pre-1 GABA-7 DCDC2C	LTN	50.0455256243768	0.111713284275314	LTN	#179924
C3-40	C3-40 Pre-1 GABA-7 FREM2	LTN	42.5142491701325	0.113407257605007	LTN	#179924
C3-41	C3-41 Mid-1 GABA-1	Vent 1	60.8573918265879	0.295087810492028	Vent	#CC1FBB
C3-42	C3-42 Mid-1 GABA-2 LGR5	SCN	1977.25027724688	8.72648718586934	SCN	#C2CC00
C3-43	C3-43 Mid-1 GABA-2 CLMP	SCN	39.6613786813936	0.0752003831539517	SCN	#C2CC00
C3-44	C3-44 Mid-1 GABA-2 ERFL	MedHy 3	8.07200912827952	0.0519164928068901	MedHy	#CC3D7D
C3-45	C3-45 Mid-1 GABA-2 FAM9B	SCN	23.2667083942179	0.036555582449364	SCN	#C2CC00
C3-46	C3-46 Mid-1 GABA-2 PMFBP1	MedHy 3	25.8389729356835	0.0847205841894445	MedHy	#CC3D7D
C3-47	C3-47 Mid-1 GABA-2 SIX6	MedHy 1	55.435865428876	0.063360517722141	MedHy	#CC3D7D
C3-48	C3-48 Mid-1 GABA-3 LHX1	LH/LPOA	2.65038141127579	0.0188705852231637		
C3-49	C3-49 Mid-1 GABA-3 ZNF385D	MedHy 3	38.3270810189802	0.0635947731016014	MedHy	#CC3D7D
C3-50	C3-50 Mid-1 GABA-3 LHX6	LH/LPOA	7.66659343661281	0.0277217417071851	LH/LPOA	#0D00FF
C3-51	C3-51 Mid-1 GABA-3 NR2F1	MedHy 3	23.535615644791	0.0739808936985893	MedHy	#CC3D7D
C3-52	C3-52 Mid-1 GABA-3 ECEL1	MedHy 3	56.141041262315	0.254421086552218	MedHy	#CC3D7D
C3-53	C3-53 Mid-1 GABA-3 SFRP1	MAM	12.8311685146408	0.0251441106262306	MAM	#FFE926
C3-2	C3-2 Astrocytes-2 VAV3	MedHy 2	5.57677460690438	0.111166987527522	MedHy	#CC3D7D
C3-3	C3-3 Astrocytes-2 CPAMD8	Fornix/OT 2	6.98267509626174	0.174752989788099	Fornix/OT	#9326FF
C3-4	C3-4 Astrocytes-2 NEFM	LH/LPOA	3.0556848301453	0.0815244708038817		
C3-5	C3-5 Astrocytes-2 TSPAN18	MedHy 2	4.77415139274004	0.184400461485979		
C3-6	C3-6 Astrocytes-2 CHI3L1	PVN/SON	5.04759240356407	0.142002996578415	PVN/SON	#884599
C3-7	C3-7 Astrocytes-2 LAMA2	MedHy 4	3.81751307400024	0.0875064681794617		
C3-8	C3-8 Astrocytes-2 HES5	MedHy 2	2.74713272031326	10.4707390178189		
C3-9	C3-9 Astrocytes-2 SERPINA3	PVN/SON	5.50197646561778	0.22558632332926	PVN/SON	#884599
C3-54	C3-54 Mid-1 GABA-4 NTS	MedHy 1	73.0824467612675	0.207572907003524	MedHy	#CC3D7D
C3-55	C3-55 Mid-1 GABA-4 OR8A1	IMH	1802.86463575055	10.1828771394877	IMH	#889945
C3-56	C3-56 Mid-1 GABA-4 HMX3	MedHy 1	133.698465942369	0.353297029890375	MedHy	#CC3D7D
C3-57	C3-57 Mid-1 GABA-5 TRPC4	TMN	44.8300171213951	0.160405842886039	TMN	#3D61CC
C3-58	C3-58 Mid-1 GABA-5 GAL	ARC	152.871747964895	0.746297342273916	ARC	#993E17
C3-59	C3-59 Mid-1 GABA-5 DLK1	MedHy 3	24.3160268796349	0.0502771106126408	MedHy	#CC3D7D
C3-60	C3-60 Mid-1 GABA-5 RORB	IMH	32.2998458347994	0.0458064203202117	IMH	#889945
C3-61	C3-61 Mid-1 GABA-5 FOXD2	ARC	47.7246137114144	0.135029408581021	ARC	#993E17
C3-62	C3-62 Mid-1 GABA-6 ADAMTSL1	LTN	98.0555731282281	0.179731963393965	LTN	#179924
C3-63	C3-63 Mid-1 GABA-6 TRHDE	MAM	0.210086518599513	0.0125510405943108		
C3-64	C3-64 Mid-1 GABA-6 SLC10A4	LTN	78.449285536827	0.190860813561216	LTN	#179924
C3-65	C3-65 Mid-1 GABA-6 IL13RA1	ARC	279.872150820818	1.0089726056961	ARC	#993E17
C3-66	C3-66 Mid-1 GABA-7 KCNH8	MedHy 3	31.1318126650123	0.0850712364896335	MedHy	#CC3D7D
C3-67	C3-67 Mid-1 GABA-7 TRABD2B	MedHy 3	12.9836014143575	0.0603472048605211	MedHy	#CC3D7D
C3-68	C3-68 Mid-1 GABA-8	LH/LPOA	10.9340754198798	0.121494035992226	LH/LPOA	#0D00FF
C3-69	C3-69 Pre-2 GABA-1 TAC3	LH/LPOA	7.00185155864565	0.0227447337841921	LH/LPOA	#0D00FF
C3-70	C3-70 Pre-2 GABA-1 IL1RAPL2	LTN	56.0748528344181	0.136982714156463	LTN	#179924
C3-71	C3-71 Pre-2 GABA-2 MDFIC	MedHy 3	22.2514331501497	0.0886129780469977	MedHy	#CC3D7D
C3-72	C3-72 Pre-2 GABA-2 LHX8	LH/LPOA	74.6653569077328	0.115887227420973	LH/LPOA	#0D00FF
C3-73	C3-73 Pre-2 GABA-3 NXPH2	LPOA	8.25372933697099	0.0266602636351889	LPOA	#FF73C7
C3-74	C3-74 Pre-2 GABA-3 GBX1	LPOA	581.803752920859	5.31416686007364	LPOA	#FF73C7
C3-75	C3-75 Pre-2 CHOL-1 BMPR1B	LPOA	57.834756425624	0.148661086909219	LPOA	#FF73C7
C3-76	C3-76 Pre-2 CHOL-1 MEPE	LPOA	683.630355250608	4.04450945996365	LPOA	#FF73C7
C3-77	C3-77 Pre-2 GABA-4 FIGN	VMH	0.54161343010904	0.0100489850566672		
C3-78	C3-78 Pre-2 GABA-4 LHX6	MAM	4.96198428175929	0.0208620447432622		
C3-79	C3-79 Pre-2 GABA-4 SATB2	IMH	9.81830873016236	0.0266495351359336	IMH	#889945
C3-80	C3-80 Pre-2 GABA-4 CHST9	LH/LPOA	3.79072349319046	0.0189596021891169		
C3-81	C3-81 Pre-2 GABA-4 POSTN	IMH	1.2395952618557	0.013743518864729		
C3-10	C3-10 Astrocytes-3 NRXN3	Leptomeningeal 2	13.1844127051173	14.7001321704599	Leptomeningeal	#73ABFF
C3-11	C3-11 Astrocytes-3 PPP1R1A	Leptomeningeal 2	3.58464445950312	4.9645541763685		
C3-82	C3-82 Post-1 GLU-1 EBF2	Fornix/OT 2	-0.00702355658023871	0.000252732478900411		
C3-83	C3-83 Post-1 GLU-1 ZEB2	LH/LPOA	2.95124017371875	0.0165037321496404		
C3-84	C3-84 Post-1 GLU-1 ZNF676	ME	-0.00841136581940197	4.95686981904897e-05		
C3-85	C3-85 Post-1 GLU-1 EBF2	MAM	23.7158424038925	0.056570165604353	MAM	#FFE926
C3-86	C3-86 Post-1 GLU-2 CRYBG3	MAM	2.14563024378761	0.0155749674940792		
C3-87	C3-87 Post-1 GLU-2 IL1RAPL2	MedHy 3	10.3821880213324	0.0655183378935742	MedHy	#CC3D7D
C3-88	C3-88 Post-1 GLU-2 C1QL2	Vent 2	0.459130130549969	0.00152307208553182		
C3-89	C3-89 Post-1 GLU-2 PAX7	ME	-0.00762557282407828	5.12045134221902e-05		
C3-90	C3-90 Post-1 GLU-2 ADGRG4	Vent 1	1.76214394212173	0.0142843886415658		
C3-91	C3-91 Post-1 GLU-2 PGM5	Vent 1	4.26292679902651	0.0209510583629286		
C3-92	C3-92 Post-1 GLU-3 AGTR1	MAM	2080.99311555824	7.86276206254959	MAM	#FFE926
C3-93	C3-93 Post-1 GLU-3 CBLN2	MAM	74.9975767753242	0.137773401982073	MAM	#FFE926
C3-94	C3-94 Post-1 GLU-4 THSD7B	Fornix/OT 1	0.171493160657879	0.000749600700505016		
C3-95	C3-95 Post-1 GLU-4 CRNDE	MAM	90.8194687284654	0.310549886631003	MAM	#FFE926
C3-96	C3-96 Post-1 GLU-4 NDNF	LH/LPOA	10.7312317809182	0.0669255478195872	LH/LPOA	#0D00FF
C3-97	C3-97 Mid-3 GLU-1 RSPO3	LH/LPOA	36.6349830796784	0.140557413693461	LH/LPOA	#0D00FF
C3-98	C3-98 Mid-3 GLU-1 ONECUT3	MAM	38.8220620211126	0.0647005920934801	MAM	#FFE926
C3-99	C3-99 Mid-3 GLU-1 DLK1	LH/LPOA	52.7670552777489	0.163368168363741	LH/LPOA	#0D00FF
C3-100	C3-100 Mid-3 GLU-1 OTP	MAM	3.79092480682525	0.0195019015910414		
C3-101	C3-101 Mid-3 GLU-2 CBLN2	IMH	29.4071152767829	0.0612788687254515	IMH	#889945
C3-102	C3-102 Mid-3 GLU-2 OTP	Vent 1	14.4846910394134	0.0416345709008697	Vent	#CC1FBB
C3-103	C3-103 Mid-3 GLU-2 EBF2	MedHy 3	79.9099903600266	0.334594593817336	MedHy	#CC3D7D
C3-104	C3-104 Mid-3 GLU-2 ITGA8	MedHy 1	34.8529505916694	0.0966875594649365	MedHy	#CC3D7D
C3-105	C3-105 Mid-3 GLU-2 ONECUT3	MedHy 3	22.7112459807918	0.132223073044964	MedHy	#CC3D7D
C3-106	C3-106 Mid-3 GLU-3 AVP	PVN/SON	113.999592111972	0.507571092518841	PVN/SON	#884599
C3-107	C3-107 Mid-3 GLU-3 SLITRK6	TMN	8.4757632282376	0.037709009696983	TMN	#3D61CC
C3-108	C3-108 Mid-3 GLU-3 CD36	TMN	4.40855990362886	0.0229873180042692		
C3-109	C3-109 Mid-3 GLU-3 METTL11B	ME	0.379455476504142	0.00104170864335578		
C3-110	C3-110 Mid-3 GLU-3 OR10AG1	Fornix/LH 2	0.157967775919551	0.00053742128369132		
C3-111	C3-111 Mid-3 GLU-4 MEDAG	PVN/SON	259.485528859881	4.22203740465521	PVN/SON	#884599
C3-112	C3-112 Mid-3 GLU-4 OXT	PVN/SON	70.9685033911313	1.35057978261285	PVN/SON	#884599
C3-113	C3-113 Mid-3 GLU-5	PVN/SON	95.5046126632173	2.83952108484436	PVN/SON	#884599
C3-114	C3-114 Mid-2 GLU-1 CHST9	MedHy 3	87.392852447917	0.140230576198263	MedHy	#CC3D7D
C3-115	C3-115 Mid-2 GLU-1 ITGA2	ARC	2.54969427168388	0.00894883912628858		
C3-116	C3-116 Mid-2 GLU-1 SOX14	MedHy 3	72.4690523572018	0.160685694404235	MedHy	#CC3D7D
C3-117	C3-117 Mid-2 GLU-1 LHX9	TMN	62.4162622640478	0.335708566218722	TMN	#3D61CC
