Sample_ID	celltype_status	sample_cells	status_sample_cells	pct_status
TweV8_N1	HypoNeuron	2296	1022	44.51
TweV8_N1	NonHypoNeuron	2296	1122	48.87
TweV8_N1	Astrocytes	2296	40	1.74
TweV8_N1	Oligodendrocytes	2296	81	3.53
TweV8_N1	NonNeuron	2296	18	0.78
TweV8_N1	AdditionalRemove	2296	13	0.57
TweV8_US1	Astrocytes	1653	321	19.42
TweV8_US1	Oligodendrocytes	1653	1123	67.94
TweV8_US1	HypoNeuron	1653	44	2.66
TweV8_US1	NonHypoNeuron	1653	81	4.9
TweV8_US1	NonNeuron	1653	59	3.57
TweV8_US1	AdditionalRemove	1653	25	1.51
eXCJJ_N2	HypoNeuron	14964	2290	15.3
eXCJJ_N2	NonHypoNeuron	14964	12559	83.93
eXCJJ_N2	AdditionalRemove	14964	4	0.03
eXCJJ_N2	Oligodendrocytes	14964	87	0.58
eXCJJ_N2	Astrocytes	14964	22	0.15
eXCJJ_N2	NonNeuron	14964	2	0.01
eXCJJ_US2	Astrocytes	4912	740	15.07
eXCJJ_US2	NonHypoNeuron	4912	201	4.09
eXCJJ_US2	Oligodendrocytes	4912	3769	76.73
eXCJJ_US2	HypoNeuron	4912	45	0.92
eXCJJ_US2	NonNeuron	4912	109	2.22
eXCJJ_US2	AdditionalRemove	4912	48	0.98
tzan2_N6.3	HypoNeuron	6937	1514	21.82
tzan2_N6.3	NonHypoNeuron	6937	391	5.64
tzan2_N6.3	Oligodendrocytes	6937	4115	59.32
tzan2_N6.3	AdditionalRemove	6937	18	0.26
tzan2_N6.3	Astrocytes	6937	365	5.26
tzan2_N6.3	NonNeuron	6937	534	7.7
tzan2_US6.1	HypoNeuron	5014	137	2.73
tzan2_US6.1	Oligodendrocytes	5014	4020	80.18
tzan2_US6.1	NonHypoNeuron	5014	34	0.68
tzan2_US6.1	Astrocytes	5014	381	7.6
tzan2_US6.1	NonNeuron	5014	434	8.66
tzan2_US6.1	AdditionalRemove	5014	8	0.16
tzan2_US6.2	Oligodendrocytes	4563	3574	78.33
tzan2_US6.2	HypoNeuron	4563	101	2.21
tzan2_US6.2	Astrocytes	4563	391	8.57
tzan2_US6.2	NonHypoNeuron	4563	35	0.77
tzan2_US6.2	NonNeuron	4563	438	9.6
tzan2_US6.2	AdditionalRemove	4563	24	0.53
tzan2_2	HypoNeuron	10360	5395	52.08
tzan2_2	NonHypoNeuron	10360	486	4.69
tzan2_2	Astrocytes	10360	886	8.55
tzan2_2	Oligodendrocytes	10360	2626	25.35
tzan2_2	NonNeuron	10360	953	9.2
tzan2_2	AdditionalRemove	10360	14	0.14
tzan2_5.1	HypoNeuron	3686	802	21.76
tzan2_5.1	NonHypoNeuron	3686	223	6.05
tzan2_5.1	Oligodendrocytes	3686	1943	52.71
tzan2_5.1	NonNeuron	3686	302	8.19
tzan2_5.1	Astrocytes	3686	391	10.61
