from	to	similarity	from_parent	to_parent	edgename	from_max	from_max_diff	similarity_from	to_max	to_max_diff	similarity_to	edge_occ	from_occ	to_occ	edge_id
C4-101 Mid-1 GABA-3 LHX6 PROX1	C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.786710356458862	C3-50 Mid-1 GABA-3 LHX6	C286-166: Lhx6.Sox6.Lhx8.GABA-1	C4-101 Mid-1 GABA-3 LHX6 PROX1_C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.82141225530918	0	0.82141225530918	0.856114154159498	0.0347018988503182	0.786710356458862	1	1	2	C4-101 Mid-1 GABA-3 LHX6 PROX1_C465-267: Lhx6.Sox6.Lhx8.GABA-1
C4-103 Mid-1 GABA-3 LHX6 FIGN	C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.856114154159498	C3-50 Mid-1 GABA-3 LHX6	C286-166: Lhx6.Sox6.Lhx8.GABA-1	C4-103 Mid-1 GABA-3 LHX6 FIGN_C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.856114154159498	0	0.856114154159498	0.856114154159498	0	0.856114154159498	1	1	2	C4-103 Mid-1 GABA-3 LHX6 FIGN_C465-267: Lhx6.Sox6.Lhx8.GABA-1
C4-104 Mid-1 GABA-3 NR2F1 RORB	C465-169: Nfix.Unassigned.Mixed.GABA-2	0.70150109251787	C3-51 Mid-1 GABA-3 NR2F1	C286-103: Nfix.Unassigned.Mixed.GABA-2	C4-104 Mid-1 GABA-3 NR2F1 RORB_C465-169: Nfix.Unassigned.Mixed.GABA-2	0.737624789951425	0	0.737624789951425	0.773748487384979	0.0361236974335546	0.70150109251787	1	1	1	C4-104 Mid-1 GABA-3 NR2F1 RORB_C465-169: Nfix.Unassigned.Mixed.GABA-2
C4-105 Mid-1 GABA-3 NR2F1 CCK	C465-244: Dlx6os1.St18.Lhx6.GABA-1	0.823846772766681	C3-51 Mid-1 GABA-3 NR2F1	C286-151: St18.Lhx6.GABA-1	C4-105 Mid-1 GABA-3 NR2F1 CCK_C465-244: Dlx6os1.St18.Lhx6.GABA-1	0.847540537733144	0	0.847540537733144	0.871234302699607	0.0236937649664629	0.823846772766681	1	1	2	C4-105 Mid-1 GABA-3 NR2F1 CCK_C465-244: Dlx6os1.St18.Lhx6.GABA-1
C4-107 Mid-1 GABA-3 ECEL1 POU6F2	C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.725937000663046	C3-52 Mid-1 GABA-3 ECEL1	C286-95: Meis2.Mixed.GABA-2	C4-107 Mid-1 GABA-3 ECEL1 POU6F2_C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.81659425447216	0	0.81659425447216	0.907251508281274	0.0906572538091144	0.725937000663046	1	1	3	C4-107 Mid-1 GABA-3 ECEL1 POU6F2_C465-153: Slc30a3.Meis2.Mixed.GABA-2
C4-108 Mid-1 GABA-3 ECEL1 FIGN	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.786727423099102	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	C4-108 Mid-1 GABA-3 ECEL1 FIGN_C465-248: Fign.Piezo2.Lhx6.GABA-1	0.83290427134118	0	0.83290427134118	0.879081119583257	0.0461768482420774	0.786727423099102	1	1	3	C4-108 Mid-1 GABA-3 ECEL1 FIGN_C465-248: Fign.Piezo2.Lhx6.GABA-1
C4-109 Mid-1 GABA-3 ECEL1 ST18	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.879081119583257	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	C4-109 Mid-1 GABA-3 ECEL1 ST18_C465-248: Fign.Piezo2.Lhx6.GABA-1	0.879081119583257	0	0.879081119583257	0.879081119583257	0	0.879081119583257	1	1	3	C4-109 Mid-1 GABA-3 ECEL1 ST18_C465-248: Fign.Piezo2.Lhx6.GABA-1
C4-110 Mid-1 GABA-3 ECEL1 GPC3	C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.907251508281274	C3-52 Mid-1 GABA-3 ECEL1	C286-95: Meis2.Mixed.GABA-2	C4-110 Mid-1 GABA-3 ECEL1 GPC3_C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.907251508281274	0	0.907251508281274	0.907251508281274	0	0.907251508281274	1	1	3	C4-110 Mid-1 GABA-3 ECEL1 GPC3_C465-153: Slc30a3.Meis2.Mixed.GABA-2
C4-111 Mid-1 GABA-3 ECEL1 ABI3BP	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.796689902375172	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	C4-111 Mid-1 GABA-3 ECEL1 ABI3BP_C465-248: Fign.Piezo2.Lhx6.GABA-1	0.837885510979215	0	0.837885510979215	0.879081119583257	0.0411956086040423	0.796689902375172	1	1	3	C4-111 Mid-1 GABA-3 ECEL1 ABI3BP_C465-248: Fign.Piezo2.Lhx6.GABA-1
C4-114 Mid-1 GABA-3 SFRP1 RELN	C465-245: Nfix.St18.Lhx6.GABA-1	0.867775769807669	C3-53 Mid-1 GABA-3 SFRP1	C286-151: St18.Lhx6.GABA-1	C4-114 Mid-1 GABA-3 SFRP1 RELN_C465-245: Nfix.St18.Lhx6.GABA-1	0.867775769807669	0	0.867775769807669	0.867775769807669	0	0.867775769807669	1	1	2	C4-114 Mid-1 GABA-3 SFRP1 RELN_C465-245: Nfix.St18.Lhx6.GABA-1
C4-116 Mid-1 GABA-4 NTS CALCR	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.861110764274303	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	C4-116 Mid-1 GABA-4 NTS CALCR_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.872762154780201	0	0.872762154780201	0.8844135452861	0.0116513905058985	0.861110764274303	1	1	3	C4-116 Mid-1 GABA-4 NTS CALCR_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1
C4-117 Mid-1 GABA-4 NTS SATB2	C465-277: Crh.Dlx1.Gal.Nts.GABA-1	0.858998422369352	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	C4-117 Mid-1 GABA-4 NTS SATB2_C465-277: Crh.Dlx1.Gal.Nts.GABA-1	0.858998422369352	0	0.858998422369352	0.858998422369352	0	0.858998422369352	1	1	1	C4-117 Mid-1 GABA-4 NTS SATB2_C465-277: Crh.Dlx1.Gal.Nts.GABA-1
C4-118 Mid-1 GABA-4 NTS ABCG2	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.8844135452861	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	C4-118 Mid-1 GABA-4 NTS ABCG2_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.8844135452861	0	0.8844135452861	0.8844135452861	0	0.8844135452861	1	1	3	C4-118 Mid-1 GABA-4 NTS ABCG2_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1
C4-119 Mid-1 GABA-4 NTS BRS3	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.757005994520437	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	C4-119 Mid-1 GABA-4 NTS BRS3_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.820709769903269	0	0.820709769903269	0.8844135452861	0.0637037753828312	0.757005994520437	1	1	3	C4-119 Mid-1 GABA-4 NTS BRS3_C465-274: Tac2.Dlx1.Gal.Nts.GABA-1
C4-12 Pre-1 GABA-8 SLC1A3 PDYN	C465-188: Cebpa.Prok2.Fam122b.Vipr2.GABA-2	0.843055799580967	C3-24 Pre-1 GABA-8 SLC1A3	C286-113: Prok2.Fam122b.Vipr2.GABA-2	C4-12 Pre-1 GABA-8 SLC1A3 PDYN_C465-188: Cebpa.Prok2.Fam122b.Vipr2.GABA-2	0.843055799580967	0	0.843055799580967	0.843055799580967	0	0.843055799580967	1	2	1	C4-12 Pre-1 GABA-8 SLC1A3 PDYN_C465-188: Cebpa.Prok2.Fam122b.Vipr2.GABA-2
C4-120 Mid-1 GABA-4 OR8A1 SCGN	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.868674360644185	C3-55 Mid-1 GABA-4 OR8A1	C286-167: Hmx2.Gal.Nts.GABA-1	C4-120 Mid-1 GABA-4 OR8A1 SCGN_C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.868674360644185	0	0.868674360644185	0.868674360644185	0	0.868674360644185	1	1	2	C4-120 Mid-1 GABA-4 OR8A1 SCGN_C465-270: Tac2.Hmx2.Gal.Nts.GABA-1
C4-121 Mid-1 GABA-4 OR8A1 SNTB1	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.790383879681883	C3-55 Mid-1 GABA-4 OR8A1	C286-167: Hmx2.Gal.Nts.GABA-1	C4-121 Mid-1 GABA-4 OR8A1 SNTB1_C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.829529120163034	0	0.829529120163034	0.868674360644185	0.0391452404811512	0.790383879681883	1	1	2	C4-121 Mid-1 GABA-4 OR8A1 SNTB1_C465-270: Tac2.Hmx2.Gal.Nts.GABA-1
C4-123 Mid-1 GABA-4 HMX3 KISS1	C465-275: Slc18a2.Dlx1.Gal.Nts.GABA-1	0.94082571329521	C3-56 Mid-1 GABA-4 HMX3	C286-170: Dlx1.Gal.Nts.GABA-1	C4-123 Mid-1 GABA-4 HMX3 KISS1_C465-275: Slc18a2.Dlx1.Gal.Nts.GABA-1	0.94082571329521	0	0.94082571329521	0.94082571329521	0	0.94082571329521	1	1	1	C4-123 Mid-1 GABA-4 HMX3 KISS1_C465-275: Slc18a2.Dlx1.Gal.Nts.GABA-1
C4-124 Mid-1 GABA-4 HMX3 ADAMTS6	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.737771445019214	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	C4-124 Mid-1 GABA-4 HMX3 ADAMTS6_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.824233084629425	0	0.824233084629425	0.910694724239636	0.0864616396102113	0.737771445019214	1	1	3	C4-124 Mid-1 GABA-4 HMX3 ADAMTS6_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1
C4-125 Mid-1 GABA-4 HMX3 GPC3	C465-276: Brs3.Dlx1.Gal.Nts.GABA-1	0.857605797746083	C3-56 Mid-1 GABA-4 HMX3	C286-170: Dlx1.Gal.Nts.GABA-1	C4-125 Mid-1 GABA-4 HMX3 GPC3_C465-276: Brs3.Dlx1.Gal.Nts.GABA-1	0.857605797746083	0	0.857605797746083	0.857605797746083	0	0.857605797746083	1	1	1	C4-125 Mid-1 GABA-4 HMX3 GPC3_C465-276: Brs3.Dlx1.Gal.Nts.GABA-1
C4-126 Mid-1 GABA-4 HMX3 COL4A4	C465-269: Brs3.Hmx2.Gal.Nts.GABA-1	0.801327271109791	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	C4-126 Mid-1 GABA-4 HMX3 COL4A4_C465-269: Brs3.Hmx2.Gal.Nts.GABA-1	0.829386064616854	0.00719468197375828	0.814996700669338	0.843055494176401	0.0208641115333047	0.801327271109791	1	1	1	C4-126 Mid-1 GABA-4 HMX3 COL4A4_C465-269: Brs3.Hmx2.Gal.Nts.GABA-1
