gene,C4-355 Mid-2 GABA-GLU-1 RGS22 AGRP,mouse_gene,C465-286: Otp.Serpina3n.Npy.Agrp.GABA-4,C465-288: Acvr1c.Npy.Agrp.GABA-4,C465-289: Acvr1c.Serpina3n.Npy.Agrp.GABA-4,C465-290: Lepr.Agrp.GABA-4,C465-287: Nr0b1.Serpina3n.Npy.Agrp.GABA-4,expr_human_all,expr_mouse_all,pct_ratio_adj
AGTR1,0.873079699584691,Agtr1b,0,0.00103888719601831,0,0,0,0.0369530391047374,0.000742441213581383,Inf
GRIK1,2.87042920447958,Grik1,0.190782170259118,0.420731803529934,0.23998336478258,0.967700035996239,0.0758904378602016,1.57917829283511,0.583177262226309,3.91126821956195
AGTR1,0.873079699584691,Agtr1a,0.0972186644199522,0.0181060702420669,0.113896386634584,0.147545151161924,0.1082458245575,0.0369530391047374,0.0330989608065742,3.1668081373376
GLRA2,1.35512088957408,Glra2,0.315609738613963,0.215771748585823,0.221749058460039,0.278460032090295,0.274407640961892,0.626974201269607,0.331237462209109,2.10220793165539
CNGB1,0.875164342586,Cngb1,0.219475343716955,0.228463128923972,0.160313186996767,0.175862827661516,0.18087412972185,0.453232784827719,0.0784610253203934,1.99549508490311
TRPC5,1.25884504713353,Trpc5,0.335063136837934,0.0562290321987544,0.0905729219591355,0.37263463450637,0.38293629651338,0.561710380252319,0.523787066328468,1.90959583362302
LEPR,1.05188795069477,Lepr,0.373691316560815,0.50037129133027,0.550568701829171,1.67793465629387,0.0749425369145694,0.341796313858846,0.100878742647889,1.49306208850436
GABRE,1.17308601330329,Gabre,0.531041841644911,0.575578589766605,0.685141394434654,0.444922033220786,0.389414453635046,0.106746402740477,0.236900583429254,1.14341135599358
GHSR,0.239458322992114,Ghsr,0.140236254798295,0.23457397531149,0.325594473037253,0.178869203174365,0.0233925743081711,0.024328072351074,0.0292471947624781,0.771915208462545
GHR,2.27874798373116,Ghr,1.56501359060592,1.69553146724063,1.49121221501628,2.63750922748228,0.891839948921315,0.706295223708433,0.500408224146401,0.542066194146005
TRPC4,0.712269285656019,Trpc4,0.553328518392016,0.618691697336061,0.528939942770078,1.03906617637182,0.304212401730086,0.681953926649717,0.266180422987434,0.364286498218378
GABRQ,0.655739253622722,Gabrq,0.672471746913289,0.484640078066401,0.848902116712791,0.325924808929663,0.568714999511011,0.224013731575277,0.414040282844268,-0.036351396327742
CALCR,0.659642729124455,Calcr,0.846296166717148,0.800487928227243,0.75003960442332,0.645090756294902,0.939468581586697,0.324524822812573,0.241262981182911,-0.359477777948596
TRPC6,0.247172872363294,Trpc6,0.330544329766327,0.391192662066942,0.365806751584068,0.61594336521118,0.113751889110502,0.168074555526369,0.0964361823182473,-0.419323352841538
CRHR1,0.0359462435602679,Crhr1,0.258134225773601,0.130700498865315,0.152277032360575,0.213143265000373,0.421212468529201,0.08862158881562,0.0558185709428032,-2.84420851996585
GPR179,0.0551313524600933,Gpr179,0.474117314657081,0.35692123034369,0.286167774261691,0.396912801715295,0.429818933974665,0.0449909377450743,0.0865964111566222,-3.10429918233453
SSTR2,0.00978980635327252,Sstr2,0.173225127129279,0.0474428272178469,0.0826407443452694,0.0754765652354539,0.603886994332197,0.113359918105099,0.120384721414274,-4.14522408184074
NPY2R,0.0130576046999813,Npy2r,1.07380110358178,1.10948827076496,1.24573784781992,0.377320610941307,1.2163538877687,0.00887134595188143,0.219232715763013,-6.36169271075402
