gene,C4-374 Mid-2 GABA-GLU-3 POMC CALCR,mouse_gene,C465-125: Tbx3.Ttr.Pomc.GLU-5,expr_human_all,expr_mouse_all,pct_ratio_adj
PTGER3,0.815117046756056,Ptger3,0.00887246610165047,0.180931151445114,0.0292631869955021,6.52152827052745
CALCR,2.36078575037938,Calcr,0.0274767990805103,0.324524822812573,0.241262981182911,6.42490936095407
GLRA2,1.37695597664059,Glra2,0.0202695541210737,0.626974201269607,0.331237462209109,6.08602427133675
PRLHR,0.281679211261874,Prlhr,0.0206921561930169,0.0278419473195716,0.00454195508218649,3.76689720071578
THRB,1.82445532368726,Thrb,0.36643176318126,0.968018046966943,0.457682183306212,2.31584935316629
TRPC6,0.591978405920188,Trpc6,0.135008338467185,0.168074555526369,0.0964361823182473,2.13249603581149
GABRE,0.974490049214297,Gabre,0.45034852923263,0.106746402740477,0.236900583429254,1.11360550396929
GABRG1,1.40967625562101,Gabrg1,0.762775292636513,0.688727155210501,0.71902773706379,0.886033854634277
SSTR1,0.463301494099263,Sstr1,0.29749287676082,0.074745555406313,0.0990478144093687,0.639096210314667
OPRM1,0.852360868394233,Oprm1,0.610933043847763,0.742057543582737,0.177314060167555,0.480450086675948
PRLR,1.23394582373076,Prlr,1.06462851921782,0.675949327100953,0.579626892757125,0.212928935755443
GABRQ,0.707785623384095,Gabrq,0.633493712554694,0.224013731575277,0.414040282844268,0.159982157244752
GHR,0.958150732302841,Ghr,0.961009428102567,0.706295223708433,0.500408224146401,-0.0042979521865987
LEPR,0.245607587243597,Lepr,0.303419542220957,0.341796313858846,0.100878742647889,-0.304958878915095
NPY1R,0.502427123580279,Npy1r,0.669938355437566,0.385486159649225,0.215771437765848,-0.415114001322664
GPR176,0.283134481835513,Gpr176,0.66279310866639,0.45634016001966,0.208196771027094,-1.22707114224024
GPR179,0.0652407394221776,Gpr179,0.501781456448276,0.0449909377450743,0.0865964111566222,-2.94321411791134
GLP1R,0.0219812711615419,Glp1r,0.284184022022499,0.0249669956258559,0.0793473686488712,-3.69247871884082
CCKAR,0.0142379800413996,Cckar,0.352961976546214,0.0206276301230547,0.0448863184586812,-4.63169638585972
