gene,C4-373 Mid-2 GABA-GLU-3 POMC PRDM12,mouse_gene,C465-122: Prdm12.Anxa2.Pomc.GLU-5,C465-123: Cartpt.Anxa2.Pomc.GLU-5,expr_human_all,expr_mouse_all,pct_ratio_adj
RXFP2,0.326420447830879,Rxfp2,0.00597035589783381,0.0216599800868409,0.0500199027775022,0.0130454432071688,5.77277068981341
GPR149,1.61377926464375,Gpr149,0.0354732206579941,0.0555136544455877,0.789021188872758,0.233267136459831,5.50756912740394
CALCR,0.917091193735282,Calcr,0.0674090182537107,0.0803039091519955,0.324524822812573,0.241262981182911,3.76605168063099
PTGER3,0.545854754263022,Ptger3,0.134949122792013,0.0786131704030524,0.180931151445114,0.0292631869955021,2.01610151857682
GABRE,1.08248212251333,Gabre,0.300376996008372,0.34941843053779,0.106746402740477,0.236900583429254,1.84949696342405
HRH1,0.489488589134871,Hrh1,0.136637436384011,0.205449218874772,0.125980660585545,0.129207770751717,1.84092241616498
LEPR,1.62414678373832,Lepr,0.560291830206344,0.531575981163761,0.341796313858846,0.100878742647889,1.53543166184964
GABRQ,0.860873280419352,Gabrq,0.509949676249875,0.6206980638981,0.224013731575277,0.414040282844268,0.75544600661851
GABRG3,2.53418459438196,Gabrg3,1.8362162686543,1.64118555457677,1.9846762857408,1.11943921105151,0.464785628028832
GLP1R,0.133352196532015,Glp1r,0.0970570688867148,0.218836267078064,0.0249669956258559,0.0793473686488712,0.458336392032526
GPR101,0.831313155882393,Gpr101,1.08495833719149,1.22361983785354,0.126941384752303,0.4764874212157,-0.384175695607675
NPY1R,0.939750415272948,Npy1r,1.40887287793586,1.61800740878815,0.385486159649225,0.215771437765848,-0.584191890791147
NPY5R,0.218747675709225,Npy5r,0.563494096516017,0.8041555084352,0.0561171296720465,0.119133906284434,-1.36513280823088
CCKAR,0.0419443208444271,Cckar,0.27983782123035,0.222794577654214,0.0206276301230547,0.0448863184586812,-2.73804357011811
NTSR1,0.0273055799655678,Ntsr1,0.283742071372821,0.213931360525876,0.0396320742532437,0.0605816441869551,-3.37731237479362
BRS3,0,Brs3,0.278644865447814,0.413045651103018,0.0121667812552593,0.0510955754048039,-Inf
NPY2R,0,Npy2r,0.682910742375994,0.771301977051896,0.00887134595188143,0.219232715763013,-Inf
