human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-24 Pre-1 GABA-1 SEMA3C CFH	0.32	0	0	0.04	0	0	0.33	0.11	0.06	0.01	0	0.26	CFH|PTPN14|CXCL14|CXCL13|VIP			C4-24	C3-26	C465-314: Cxcl14.Tac1.Meis2.GABA-5	0.78	1	0.04	0.05	0	0.54	0.11	0.01	0.12	0	0.05	0	0.06	1.28
C4-194 Pre-2 CHOL-1 BMPR1B	0.31	0	0.7	0.02	0.01	0	0.06	0.33	0.55	0	0.02	0.05	SLC5A7|COL6A5|CHAT|LHX8|PRIMA1	LPOA	#FFE926	C4-194	C3-75	C465-321: Chat.GABA-7	0.802	1	0.01	0.01	1.49	0.25	1.09	0.04	0.32	0.02	0.53	0	0.35	0.55
C4-154 Mid-1 GABA-6 TRHDE LEF1	0.3	0	0	0.07	0.37	0	0.12	0.18	0.08	0	0.08	0.46	LEF1|RORB|CDH20|PDZRN4|ECEL1	LH	#3D61CC	C4-154	C3-63	C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.895	1	0.02	0.01	0	0.18	3.23	0.04	0.12	0.03	0.08	0.01	0.14	1.14
C4-18 Pre-1 GABA-1 SEMA3C CAV1	0.27	0	0	0	0.01	0.01	0.01	0.12	0.04	0	0	0.26	CAV1|PROK2|CXCL14|COL4A1|NPNT			C4-18	C3-26															
C4-144 Mid-1 GABA-5 RORB GLI3	0.23	0	0	0.65	1.26	0.01	0.12	0.22	0.1	0	0.05	0.48	GLI3|TPTE|HMX3|NPSR1|RELN	MPOA	#532E99	C4-144	C3-60	C465-271: Ecel1.Nts.GABA-1	0.919	1	0.01	0.05	0	2.22	2.56	0.02	0.63	0.15	0.04	0.01	0.1	1.41
C4-303 Mid-3 GLU-3 SLITRK6 FBN2	0.23	0	0	0.06	0.03	0	0.05	0.32	0.11	1.28	0.49	0	FBN2|SIM1|OTP|LYPD6|STK32B	MAM	#990073	C4-303	C3-107	C465-17: Npas1.Ebf3.Nxph4.GLU-2	0.718	1	0.09	0.08	0.01	0.26	0.36	0.02	0.79	0.09	0.02	0.54	0.27	0.19
C4-171 Pre-2 GABA-1 IL1RAPL2 SST	0.21	0	0	0.03	0.01	0	0.03	0.26	0.38	0	0.12	0.37	MOXD1|IL1RAPL2|LHX6|NXPH2|SOX6	LPOA	#FFE926	C4-171	C3-70	C465-252: Igfbp4.Lhx6.GABA-1	0.886	1	0.09	0.27	0	0.13	0.23	0.01	1.1	0	0.85	0	0.14	1.79
C4-306 Mid-3 GLU-3 CD36 LMCD1	0.2	0	0	0.2	0.09	0.01	0.02	0.38	0.11	1.05	0.11	0	OTP|KCNH8|LMCD1|STK32B|SIM1	MAM	#990073	C4-306	C3-108															
C4-135 Mid-1 GABA-5 GAL ACVR1C	0.19	0.02	0	1.46	3.19	0.01	0.01	0.68	0.01	0.01	0.03	0.47	MORC1|MBNL3|SRPX2|POTEE|ECEL1	ARC	#993E17	C4-135	C3-58															
C4-296 Mid-3 GLU-3 AVP TFPI2	0.18	0	0	0.12	0.07	0.01	0	0.42	0.06	1.18	1.03	0.04	TFPI2|CARTPT|TH|SCGN|OXT	PVN	#884599	C4-296	C3-106															
