name	signature_length	genes
Astrocytes	29	GJB6;CD44;CD109;S1PR3;GFAP;SLC7A10;ETNPPL;PRRX2;ATP13A4;AGT;FLNC;HSPB6;FGFR3;NTSR2;CD38;ENTPD2;IGFBP2;SLC7A11;SFRP5;ITIH3;ACSBG1;SLC6A11;A2M;SLC39A12;IGSF1;PAQR6;SLC4A4;EMP1;CLDN10
Ermn.Oligodendrocytes	42	HAPLN2;ERMN;OPALIN;MOG;GJB1;D7ERTD443E;PLS1;GALNT6;PLEKHH1;SMCO3;MAG;CNTN2;TMEM125;S1PR5;ASPA;ANLN;GJC2;TMEM88B;CLDN11;TRIM59;MAL;PPP1R14A;APOD;ST18;TNFAIP6;PRR5L;SERPINB1A;KCNA1;ARSG;TSPAN2;FA2H;PDLIM2;GRB14;SYTL2;UGT8A;ADSSL1;TRF;MYRF;CAR14;YPEL2;TMOD1;SLAIN1
OPC	14	PDGFRA;C1QL1;EMID1;SAPCD2;PLPP4;NEU4;CSPG4;SNX22;C1QL2;MATN4;GPR17;TRAF4;CCND1;CAR8
Dcn.Fibroblasts	37	LUM;DCN;COL3A1;ITIH2;CEMIP;SLC6A13;CRISPLD2;PCOLCE;COL1A1;COL15A1;IGFBP2;SPP1;SERPING1;EFEMP1;ISLR;BGN;SERPINF1;MGP;NUPR1;COL1A2;COL6A1;EDN3;CPED1;NID1;FBLN2;TGFBI;ENPP1;VTN;ITIH5;IGFBP4;EMP3;COLEC12;RCN3;TGFBR3;CFH;IL34;FOXC1
Mural	48	PLN;ASPN;MYH11;SLC38A11;TAGLN;TPM2;HIGD1B;NDUFA4L2;ACTA2;DES;GJA4;VTN;KCNJ8;MYL9;MUSTN1;GPER1;PERP;IFITM1;RGS5;MGP;MYLK;TBX3OS1;SLC6A20A;FILIP1L;BGN;PDE5A;IL34;PDE3A;IGFBP7;PDGFRB;SLC19A1;GJC1;RBPMS;ATP13A5;SOD3;WTIP;PHLDB2;CRIP1;NOTCH3;MYO1B;RASL12;ZIC1;EBF1;SNCG;HSPB1;ITGA1;BCAM;DDIT4L
Endothelial	94	ABCB1A;ADGRL4;SOX17;SLCO1A4;CYYR1;CLDN5;ADGRF5;NOSTRIN;LY6A;LY6C1;CDH5;PGLYRP1;TEK;FOXQ1;USHBP1;FLT1;PTPRB;EMCN;ICAM2;LEF1;TIE1;PAQR5;CLIC5;CTLA2A;PECAM1;MECOM;SEMA3C;CAR4;DEGS2;LSR;ACVRL1;CD93;PODXL;ESAM;CXCL12;EGFL7;GRRP1;RASIP1;ATP10A;WFDC1;FN1;SLC22A8;ITM2A;HMCN1;KANK3;GIMAP6;SLFN5;ENG;TINAGL1;ID1;KITL;KDR;TMEM204;CD34;IGFBP7;FXYD5;PROM1;BVHT;SLC7A1;AW112010;HSPB1;CGNL1;CLEC2D;LTBP4;PALMD;RGS5;SRGN;OCLN;PCP4L1;SLCO1C1;ABCG2;EOGT;IFITM3;APCDD1;SLC40A1;SLC7A5;CMTM8;NET1;GRAP;TM4SF1;PDGFB;SLC9A3R2;PLTP;BC028528;ITGA1;RAMP2;GRASP;ARHGAP29;VWA1;ETS1;SEMA7A;LMO2;FLI1;KLF4
Tmem119.Immune	92	SIGLECH;GPR34;TMEM119;SELPLG;PLD4;BIN2;FCGR3;P2RY12;CD53;LY86;FCRLS;CD37;CSF1R;CX3CR1;ITGAM;TREM2;SPI1;LAPTM5;P2RY13;BCL2A1B;SUSD3;MPEG1;CCR5;ITGB2;FCER1G;FCGR1;AIF1;CYTH4;C1QC;CTSS;ARHGAP45;ABI3;P2RY6;CD84;IRF8;LTC4S;FGD2;TNFAIP8L2;CD14;ALOX5AP;CD33;PTPRC;TYROBP;NCF1;PTGS1;CRYBB1;C1QB;INPP5D;OLFML3;RAC2;CD68;CD52;HCLS1;IRF5;FERMT3;OTULINL;PTPN18;CMTM7;HPGDS;GNGT2;FYB;LYZ2;HPGD;PLEK;UNC93B1;LST1;HEXB;MAFB;LCP1;LAIR1;ARHGDIB;SLCO2B1;VSIR;CORO1A;PYCARD;APBB1IP;TGFB1;LYN;HK2;TGFBR1;ECSCR;CFH;RNASE4;CTSC;H2-DMA;F11R;PDE3B;ANXA3;CTSH;LPCAT2;TM6SF1;GOLM1
POMC_neurons	5	POMC;TBX3;SHISAL2B;PRDM12;GPR101
AGRP_neurons	8	AGRP;NPY;AGTR1;SHISAL2B;OTP;ACVR1C;TBX3;GHSR
GHRH_neurons	10	GHRH;GAL;GSX1;TMEM155;GHSR;AL158038.12;GABRE;TCF7L1;CFC1;PGR
PMCH_neurons	6	PMCH;PARPBP;CRHBP;CARTPT;GPR83;OTX1
HCRT_neurons	10	HCRT;PLCZ1;LHX9;PDYN;RERGL;TRHR;PIK3C2G;C1QL3;NTF3;CRYM
TRH_SIM1_EBF_neurons	5	TRH;SIM1;OTP;EBF1;EBF3
CHAT_neurons	6	CHAT;SLC5A7;LHX8;COL6A6;NTRK1;INSRR
TAC3_KISS1_neurons	7	TAC3;KISS1;SKOR2;PGR;TBX3;VGLL3;EMP2
