cluster_id	cluster_name	clusterlevel	first_cluster_name	top_markers	ncells	mean_nCount_RNA	mean_nFeature_RNA	mean_percent_mt	Female	Male	Siletti	Tadross	1C41i	3u5kk	buFpQ	eXCJJ	f5sVM	siletti_H18.30.002	siletti_H19.30.001	siletti_H19.30.002	TweV8	tzan2	znZv1	1C41i_A4	1C41i_A6	1C41i_A7	1C41i_A8	1C41i_R1	1C41i_R2	3u5kk_A.01	3u5kk_A.02	3u5kk_A.03	3u5kk_A.05	3u5kk_A.06	3u5kk_A.07	3u5kk_A.08	3u5kk_A.09	3u5kk_A.10	3u5kk_R.01	3u5kk_R.02	3u5kk_R.03	3u5kk_R.04	3u5kk_R.05	3u5kk_R.06	3u5kk_R.07	3u5kk_R.08	3u5kk_R.09	3u5kk_R.10	3u5kk_R.11	buFpQ_A1	buFpQ_A3	buFpQ_R1	buFpQ_R2	buFpQ_R3	eXCJJ_N2	eXCJJ_US2	f5sVM_ARHS2	siletti_10X190_5	siletti_10X190_6	siletti_10X192_7	siletti_10X192_8	siletti_10X193_3	siletti_10X193_4	siletti_10X203_7	siletti_10X203_8	siletti_10X360_7	siletti_10X360_8	siletti_10X362_3	siletti_10X362_4	siletti_10X362_5	siletti_10X362_6	siletti_10X376_5	siletti_10X376_6	siletti_10X380_5	siletti_10X380_6	siletti_10X380_7	siletti_10X380_8	siletti_10X389_1	siletti_10X389_2	siletti_10X392_3	siletti_10X392_4	TweV8_N1	TweV8_US1	tzan2_2	tzan2_5.1	tzan2_5.2	tzan2_5.3	tzan2_5.4	tzan2_N6.3	tzan2_US6.1	tzan2_US6.2	znZv1_1AS1CB	znZv1_1AS2CB	znZv1_1AS3CB	znZv1_1AS4CB	znZv1_1CB	znZv1_S1	znZv1_S10	znZv1_S11	znZv1_S1F	znZv1_S2	znZv1_S3	znZv1_S5	znZv1_S8	znZv1_S9
C0-1	C0-1 AstroEpendymal	C0	AstroEpen	AQP4|ETNPPL|HPSE2|TNC|SLC14A1	63111	4147.55	1975.99	0.2474	65.49	34.51	8.88	91.12	8.87	54.83	7.41	1.21	3.18	4.17	3.45	1.26	0.62	5.65	9.34	1.53	1.36	1.61	1.66	1.49	1.23	0.3	0.51	0.53	0.61	0.34	5.78	7.56	8.72	8.9	0.24	0.3	0.49	0.36	0.36	0.28	0.33	2.15	3.75	6.49	6.81	1.85	0.76	1.4	1.64	1.76	0.03	1.17	3.18	0.4	0.33	1.13	1.13	0.24	0.27	0.33	0.34	0.18	0.19	0.28	0.26	1.04	1.04	0.17	0.19	0.22	0.26	0.11	0.12	0.14	0.13	0.19	0.19	0.08	0.54	1.4	0.62	0.63	0.6	0.59	0.58	0.61	0.62	1.06	0.8	1.05	1.13	0.84	1.85	0.54	0.27	0.44	0.59	0.09	0.15	0.27	0.27
C0-2	C0-2 Oligodendrocytes	C0	Oligo	BCAS1|FOLH1|MOBP|UGT8|FA2H	175109	3601.62	1759.25	0.2982	45.61	54.39	8.22	91.78	12.93	28.76	7.58	2.2	1.43	3.39	4.27	0.56	0.69	12.54	25.66	2.1	2.25	2.79	2.63	1.76	1.39	0.17	0.27	0.3	0.32	0.17	2.94	3.88	4.65	4.41	0.22	0.3	0.2	0.31	0.33	0.24	0.28	1.9	2.84	2.59	2.44	0.23	0.08	2.13	2.45	2.69	0.05	2.15	1.43	0.37	0.37	0.38	0.35	0.64	0.65	0.32	0.32	0.48	0.43	0.24	0.21	0.97	0.94	0.33	0.35	0.03	0.04	0.02	0.02	0.21	0.21	0.16	0.19	0.05	0.64	1.5	1.11	1.05	1.05	1.15	2.35	2.3	2.04	3.79	3.84	4	4.68	3.11	0.33	1.54	1.26	0.03	0.75	0.76	0.28	0.73	0.55
C0-3	C0-3 Neuron	C0	Neuron	GABRG3|GPR149|NYAP2|KCNB2|KCNH7	166475	17473.29	4665.87	0.2889	30.33	69.67	58.25	41.75	0.51	22.01	0.13	1.4	0.04	18.59	23.32	16.34	0.64	6.24	10.78	0.11	0.09	0.14	0.13	0.03	0.01	0.04	0.1	0.11	0.09	0.05	0.69	0.86	1.03	0.95	0.26	0.32	2.17	0.35	0.35	0.3	0.32	1.07	2.06	4.61	6.28	0.06	0.03	0.01	0.02	0.02	1.38	0.03	0.04	2.93	3.24	0.39	0.36	1.89	2.05	3.88	3.83	4.97	4.57	2.95	2.75	0.05	0.06	1.89	2	3.08	3.41	1.99	2.16	2.54	2.47	2.21	2.55	0.61	0.03	3.24	0.48	0.47	0.48	0.51	0.91	0.08	0.06	0.2	0.18	0.19	0.26	0.22	1.38	0.63	1.48	0.45	2.23	2.83	0.06	0.34	0.31
C0-4	C0-4 Immune/Vascular	C0	NN	LY86|LNCAROD|FLI1|IKZF1|SYK	28674	2918.26	1597.73	0.5675	37.5	62.5	15.46	84.54	23.08	22.97	9.41	0.38	1.18	4.94	9.15	1.37	0.16	12.81	14.55	3.94	3.51	3.95	4.18	3.72	3.78	0.14	0.19	0.21	0.2	0.11	1.93	2.48	2.9	2.8	0.25	0.29	0.44	0.36	0.37	0.27	0.35	1.78	2.17	2.89	2.84	0.27	0.3	2.64	2.98	3.22	0.01	0.38	1.18	0.81	0.7	0.57	0.53	0.76	0.89	0.36	0.32	0.74	0.65	0.74	0.6	2.96	2.89	0.32	0.35	0.01	0.01	0.01	0	0.31	0.28	0.29	0.37	0.02	0.14	3.32	1.05	1.11	1.2	1.24	1.86	1.51	1.53	2.36	1.64	1.83	2.32	2.29	0.95	1.08	0.54	0.12	0.37	0.5	0.11	0.23	0.21
C1-1	C1-1 Astrocytes	C1	Astrocytes	MGAT4C|ETNPPL|ANGPTL4|TNC|AF279873.3	61653	4109.5	1965.28	0.2235	66.53	33.47	8.61	91.39	8.51	55.69	7.01	1.24	3.24	4.06	3.45	1.1	0.59	5.78	9.34	1.49	1.35	1.59	1.65	1.33	1.1	0.3	0.53	0.54	0.63	0.35	5.9	7.7	8.88	9.07	0.25	0.31	0.48	0.36	0.37	0.28	0.33	2.17	3.81	6.56	6.88	1.85	0.71	1.28	1.51	1.66	0.04	1.2	3.24	0.32	0.27	1.16	1.16	0.24	0.27	0.31	0.32	0.18	0.19	0.23	0.21	1.06	1.06	0.17	0.19	0.2	0.24	0.1	0.11	0.12	0.11	0.19	0.19	0.06	0.52	1.44	0.63	0.64	0.62	0.6	0.59	0.62	0.63	1.09	0.81	1.08	1.16	0.86	1.77	0.54	0.27	0.4	0.6	0.08	0.15	0.25	0.28
C1-2	C1-2 Ependymal	C1	Ependymal	CLIC6|CFAP157|CFAP299|C11orf88|PRLR	1458	5756.69	2428.71	1.2579	21.81	78.19	20.1	79.9	24.28	18.66	24.35	0.07	0.55	8.92	3.29	7.89	2.13	0.41	9.47	3.09	1.92	2.54	2.06	8.02	6.65	0	0.07	0.07	0.07	0	0.96	1.71	1.92	1.71	0.07	0.14	0.69	0.21	0.27	0.14	0.21	1.65	1.44	3.5	3.84	1.92	2.54	6.79	6.86	6.24	0	0.07	0.55	3.57	2.88	0	0.07	0.07	0.14	1.17	1.03	0.14	0.07	2.54	2.06	0.07	0.41	0	0.14	0.96	1.1	0.62	0.62	0.96	1.3	0.14	0.07	0.82	1.3	0	0.07	0	0.07	0	0.14	0.14	0	0.07	0	0	0	0	5.14	0.34	0	2.19	0.41	0.21	0	1.1	0
C1-3	C1-3 Oligo-Precursor	C1	Precursor	PDGFRA|BX284613.2|VCAN|MYT1|KCNMB2	30862	3971.17	1954.18	0.2872	55.78	44.22	11.07	88.93	8.08	42.13	3.82	1.03	2.69	6.64	3.06	1.38	0.73	9.21	21.25	1.44	1.48	1.73	1.63	1	0.79	0.32	0.45	0.49	0.51	0.29	5.28	6.71	8.19	7.76	0.16	0.26	0.18	0.34	0.28	0.27	0.33	1.65	2.85	2.96	2.84	0.09	0.04	1.06	1.26	1.38	0.02	1.01	2.69	0.95	1.05	1.14	1.07	0.73	0.67	0.49	0.54	0.37	0.43	0.51	0.48	0.55	0.58	0.15	0.14	0.08	0.11	0.11	0.08	0.18	0.21	0.21	0.24	0.06	0.67	2.92	0.69	0.56	0.56	0.64	1.55	1.22	1.08	1.81	2.11	1.87	2.64	1.59	0.47	3.06	2.25	0.07	2.13	1.72	0.19	0.15	1.19
C1-4	C1-4 Oligo-Mature	C1	Mature	MOBP|ABCA8|COL4A5|FOLH1|SLCO1A2	144247	3522.56	1717.54	0.3005	43.44	56.56	7.61	92.39	13.96	25.9	8.39	2.45	1.16	2.7	4.53	0.38	0.68	13.25	26.6	2.24	2.41	3.02	2.85	1.92	1.52	0.14	0.23	0.26	0.28	0.14	2.44	3.27	3.89	3.69	0.23	0.3	0.21	0.3	0.34	0.24	0.27	1.95	2.84	2.51	2.36	0.25	0.09	2.36	2.7	2.97	0.06	2.4	1.16	0.25	0.23	0.21	0.2	0.62	0.64	0.28	0.27	0.5	0.43	0.18	0.15	1.06	1.02	0.37	0.39	0.02	0.02	0	0	0.22	0.21	0.15	0.18	0.04	0.64	1.2	1.2	1.15	1.15	1.26	2.52	2.53	2.25	4.22	4.21	4.45	5.12	3.43	0.3	1.22	1.05	0.02	0.46	0.55	0.3	0.85	0.41
C1-5	C1-5 Pre-1	C1	Pre-1	MEIS2|PPP1R1B|CXCL14|SH3RF2|DRD1	48404	11286.68	3578.45	0.488	75.06	24.94	23.91	76.09	0.05	54.58	0.09	4.25	0	19.25	4.58	0.08	2.08	14.15	0.9	0.01	0	0	0.01	0.01	0	0.01	0.03	0.03	0.03	0.02	0.24	0.29	0.4	0.35	0.74	0.95	6.77	1.04	1.05	0.9	0.97	3.02	5.9	13.46	18.37	0	0	0.02	0.03	0.03	4.23	0.02	0	0.01	0.01	1.21	1.13	0	0	8.48	8.41	0.02	0.02	0	0	0.01	0	2.01	2.14	0.03	0.04	0	0	0.01	0	0.16	0.21	2	0.08	9.64	0.87	0.8	0.88	0.87	0.94	0.08	0.07	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0	0.01	0.02	0.04	0.02	0.69	0.01
C1-6	C1-6 Mid-1	C1	Mid-1	ECEL1|DLX1|RORB|DLK1|GAD1	29741	14271.97	4354.27	0.2884	11.84	88.16	66.5	33.5	0.74	7.85	0.26	0.6	0.03	13.54	24.98	27.98	0.02	3.35	20.65	0.14	0.13	0.21	0.19	0.07	0	0.08	0.15	0.1	0.13	0.09	1.02	1.31	1.61	1.4	0.03	0.04	0.11	0.03	0.04	0.03	0.02	0.2	0.25	0.54	0.66	0.14	0.08	0.01	0.02	0.02	0.49	0.1	0.03	4.13	4.81	0	0	0.05	0.05	2.24	2.26	4.9	4.28	1.26	1.2	0.13	0.19	1.36	1.44	9.32	10.34	2.82	3.04	0.78	0.74	5.18	5.98	0.02	0	0.77	0.09	0.1	0.13	0.11	1.87	0.17	0.11	0.21	0.21	0.13	0.27	0.23	4.39	0.23	0.54	1.48	5.66	6.68	0.16	0.36	0.12
