from	to	isLeaf	level	count	totalCount	from_named	to_named
all	C0-1	FALSE	2	2	20		C0-1 AstroEpendymal
all	C0-2	FALSE	2	2	13		C0-2 Oligodendrocytes
all	C0-3	FALSE	2	7	580		C0-3 Neuron
all	C0-4	FALSE	2	2	23		C0-4 Immune/Vascular
C0-1	C1-1	FALSE	3	3	15	C0-1 AstroEpendymal	C1-1 Astrocytes
C0-1	C1-2	FALSE	3	1	5	C0-1 AstroEpendymal	C1-2 Ependymal
C0-2	C1-3	FALSE	3	2	6	C0-2 Oligodendrocytes	C1-3 Oligo-Precursor
C0-2	C1-4	FALSE	3	2	7	C0-2 Oligodendrocytes	C1-4 Oligo-Mature
C0-3	C1-5	FALSE	3	8	89	C0-3 Neuron	C1-5 Pre-1
C0-3	C1-6	FALSE	3	8	143	C0-3 Neuron	C1-6 Mid-1
C0-3	C1-7	FALSE	3	5	63	C0-3 Neuron	C1-7 Pre-2
C0-3	C1-8	FALSE	3	4	68	C0-3 Neuron	C1-8 Post-1
C0-3	C1-9	FALSE	3	5	79	C0-3 Neuron	C1-9 Mid-3
C0-3	C1-10	FALSE	3	7	122	C0-3 Neuron	C1-10 Mid-2
C0-3	C1-11	FALSE	3	2	16	C0-3 Neuron	C1-11 Post-2
C0-4	C1-12	FALSE	3	1	7	C0-4 Immune/Vascular	C1-12 Vascular
C0-4	C1-13	FALSE	3	4	16	C0-4 Immune/Vascular	C1-13 Immune
C1-1	C2-1	FALSE	4	1	2	C1-1 Astrocytes	C2-1 Astrocytes-1
C1-1	C2-2	FALSE	4	8	9	C1-1 Astrocytes	C2-2 Astrocytes-2
C1-1	C2-3	FALSE	4	2	3	C1-1 Astrocytes	C2-3 Astrocytes-3
C1-10	C2-39	FALSE	4	4	21	C1-10 Mid-2	C2-39 Mid-2 GLU-1
C1-10	C2-40	FALSE	4	5	29	C1-10 Mid-2	C2-40 Mid-2 GLU-2
C1-10	C2-41	FALSE	4	2	10	C1-10 Mid-2	C2-41 Mid-2 GABA-GLU-1
C1-10	C2-42	FALSE	4	2	10	C1-10 Mid-2	C2-42 Mid-2 GABA-GLU-2
C1-10	C2-43	FALSE	4	2	7	C1-10 Mid-2	C2-43 Mid-2 GLU-3
C1-10	C2-44	FALSE	4	4	24	C1-10 Mid-2	C2-44 Mid-2 GABA-GLU-3
C1-10	C2-45	FALSE	4	4	20	C1-10 Mid-2	C2-45 Mid-2 GLU-4
C1-11	C2-46	FALSE	4	3	11	C1-11 Post-2	C2-46 Post-2 GLU-1
C1-11	C2-47	FALSE	4	1	4	C1-11 Post-2	C2-47 Post-2 GLU-2
