gwas	specificity_id	annotation	gene_ensembl	gene_symbol	esmu_percentile	magma_gene_percentile	esmu	magma_gene_pval
BMI_Yengo2018	esmu_mean_10pct	C4_110	ENSG00000172350	ABCG4	93.55	96.71	0.33	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_112	ENSG00000172350	ABCG4	94.25	96.71	0.35	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_118	ENSG00000172350	ABCG4	91.72	96.71	0.38	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_120	ENSG00000172350	ABCG4	93.45	96.71	0.4	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_122	ENSG00000172350	ABCG4	95.73	96.71	0.41	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_126	ENSG00000172350	ABCG4	93.73	96.71	0.33	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_137	ENSG00000172350	ABCG4	92.48	96.71	0.27	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_149	ENSG00000172350	ABCG4	92.4	96.71	0.36	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_150	ENSG00000172350	ABCG4	93.29	96.71	0.42	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_152	ENSG00000172350	ABCG4	92.07	96.71	0.35	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_167	ENSG00000172350	ABCG4	97.79	96.71	0.47	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_171	ENSG00000172350	ABCG4	95.67	96.71	0.36	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_174	ENSG00000172350	ABCG4	96.83	96.71	0.4	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_178	ENSG00000172350	ABCG4	96.69	96.71	0.43	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_179	ENSG00000172350	ABCG4	94.32	96.71	0.37	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_181	ENSG00000172350	ABCG4	98.77	96.71	0.44	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_182	ENSG00000172350	ABCG4	93.15	96.71	0.31	1.17e-06
BMI_Yengo2018	esmu_mean_10pct	C4_183	ENSG00000172350	ABCG4	94.92	96.71	0.34	1.17e-06
