gwas	annotation	beta_10pct	beta_se_10pct	pvalue_10pct	beta_25pct	beta_se_25pct	pvalue_25pct
BMI_Yengo2018	C3_1	-0.2076064	0.13666526	0.93561836	-0.271279	0.179237079	0.934914964
BMI_Yengo2018	C3_10	-0.5610784	0.13743958	0.99997759	-0.537120208	0.181946748	0.998419142
BMI_Yengo2018	C3_11	-0.4332054	0.11909372	0.99986187	-0.382997205	0.149442591	0.9948038
BMI_Yengo2018	C3_12	-0.5576449	0.12589181	0.99999524	-0.386703924	0.163643625	0.990931465
BMI_Yengo2018	C3_13	-0.5822319	0.18523611	0.99916266	-0.450003328	0.258842067	0.958929802
BMI_Yengo2018	C3_14	-0.7257084	0.1103187	1	-0.798803486	0.135519246	0.999999998
BMI_Yengo2018	C3_141	-0.538287	0.1128601	0.99999907	-0.698137121	0.165146266	0.999988104
BMI_Yengo2018	C3_142	-0.9644157	0.13082491	1	-0.838500026	0.176450661	0.999998983
BMI_Yengo2018	C3_143	-0.9007322	0.13153733	1	-0.851967788	0.169241175	0.999999757
BMI_Yengo2018	C3_144	-0.6087675	0.1290375	0.9999988	-0.595840117	0.16958594	0.999778179
BMI_Yengo2018	C3_145	-0.3950366	0.13662934	0.9980788	-0.198031595	0.198681529	0.84054329
BMI_Yengo2018	C3_146	-0.5506567	0.11517004	0.99999912	-0.608483451	0.149126522	0.999977388
BMI_Yengo2018	C3_147	-0.3879684	0.10129171	0.9999357	-0.487213005	0.128262726	0.999926921
BMI_Yengo2018	C3_148	-0.6273196	0.11264722	0.99999999	-0.733362677	0.153034425	0.999999166
BMI_Yengo2018	C3_149	-0.4876472	0.10965208	0.99999562	-0.613610819	0.146660787	0.999985584
BMI_Yengo2018	C3_15	-0.2784639	0.14207873	0.97498791	-0.017122232	0.171175168	0.539838056
BMI_Yengo2018	C3_150	-0.8509551	0.14413034	1	-0.865627886	0.218789751	0.999961774
BMI_Yengo2018	C3_151	-0.6247713	0.11532963	0.99999997	-0.679151196	0.14811808	0.999997713
BMI_Yengo2018	C3_152	-0.6663661	0.12384686	0.99999996	-0.76432069	0.164900316	0.9999982
BMI_Yengo2018	C3_153	-0.7050646	0.14220327	0.99999964	-0.925382753	0.20049469	0.999998022
BMI_Yengo2018	C3_154	-0.8255402	0.12020635	1	-0.82891229	0.153431802	0.999999967
BMI_Yengo2018	C3_155	-0.4285966	0.19882193	0.98443719	-0.538502385	0.270533553	0.976723436
BMI_Yengo2018	C3_156	-0.6502598	0.13283088	0.9999995	-0.559600944	0.186770972	0.998630716
BMI_Yengo2018	C3_16	-0.2229108	0.15319409	0.92716623	-0.019549674	0.191302945	0.540697219
BMI_Yengo2018	C3_17	-0.4328148	0.19020131	0.98855634	-0.494129874	0.215561043	0.98904835
BMI_Yengo2018	C3_18	-0.2163328	0.13958109	0.93940256	-0.156018809	0.164670093	0.828290351
BMI_Yengo2018	C3_19	-0.2237728	0.12986493	0.9575555	-0.078610957	0.152373323	0.697037372
BMI_Yengo2018	C3_2	-0.2490746	0.11869524	0.98205781	-0.381805693	0.148484931	0.994929637
BMI_Yengo2018	C3_20	-0.3543967	0.22183007	0.9449232	-0.264142454	0.267265302	0.83849239
BMI_Yengo2018	C3_21	-0.2553083	0.1543016	0.9509865	-0.06220903	0.183514874	0.632687436
BMI_Yengo2018	C3_3	-0.2452658	0.12647984	0.97374957	-0.214068387	0.15393954	0.917815627
BMI_Yengo2018	C3_4	-0.2319327	0.13704564	0.95470166	-0.140623481	0.169613376	0.796464065
BMI_Yengo2018	C3_5	-0.0687677	0.1140842	0.72666761	-0.04207747	0.142647534	0.615991359
BMI_Yengo2018	C3_6	-0.4008418	0.13119045	0.99887415	-0.465674869	0.160370417	0.998153479
BMI_Yengo2018	C3_7	-0.3223196	0.11954851	0.9964884	-0.435583686	0.146763489	0.998498397
BMI_Yengo2018	C3_8	-0.2572209	0.13517856	0.97145796	-0.005583314	0.176536897	0.512614977
BMI_Yengo2018	C3_9	-0.4207487	0.13716271	0.99891871	-0.420669376	0.171123126	0.993013865
BMI_Yengo2018	C4_1	0.41207076	0.12883804	0.00069259	0.443076073	0.143051804	0.000978353
BMI_Yengo2018	C4_10	0.23347847	0.17319705	0.08883188	-0.001125254	0.205846175	0.50218076
BMI_Yengo2018	C4_100	1.94078347	0.23271758	4.07e-17	2.122191554	0.29860028	6.21e-13
BMI_Yengo2018	C4_101	0.94427694	0.20256283	1.58e-06	0.972408985	0.221562275	5.74e-06
BMI_Yengo2018	C4_102	1.7004723	0.23797814	4.71e-13	1.527263096	0.293545149	9.95e-08
BMI_Yengo2018	C4_103	1.01669344	0.23956481	1.11e-05	1.057823131	0.269808291	4.44e-05
BMI_Yengo2018	C4_104	2.01821531	0.21965021	2.27e-20	1.720341299	0.264386898	3.97e-11
BMI_Yengo2018	C4_105	1.46600158	0.18967688	5.79e-15	1.370268923	0.23079737	1.48e-09
BMI_Yengo2018	C4_106	1.67786509	0.19005526	5.94e-19	1.62861641	0.223933032	1.85e-13
BMI_Yengo2018	C4_107	1.86371518	0.21880735	8.97e-18	1.672000179	0.264258938	1.29e-10
BMI_Yengo2018	C4_108	1.83099398	0.20640593	4.06e-19	1.681140403	0.238199413	8.86e-13
BMI_Yengo2018	C4_109	1.74823512	0.19027035	2.27e-20	1.650951817	0.218370875	2.14e-14
BMI_Yengo2018	C4_11	0.21140165	0.18800754	0.13042459	0.143253513	0.201836722	0.238935657
BMI_Yengo2018	C4_110	1.93188798	0.23551207	1.27e-16	1.632944009	0.283457136	4.27e-09
BMI_Yengo2018	C4_111	1.88887663	0.25871987	1.51e-13	2.077658597	0.294472059	9e-13
BMI_Yengo2018	C4_112	2.15025998	0.21305406	3.6e-24	1.872544365	0.247123405	1.87e-14
BMI_Yengo2018	C4_113	1.40087038	0.23915301	2.4e-09	1.402352289	0.30260737	1.81e-06
BMI_Yengo2018	C4_114	1.28901917	0.25681647	2.63e-07	1.472645252	0.303067573	5.96e-07
BMI_Yengo2018	C4_115	1.15349988	0.21667749	5.17e-08	1.046083446	0.260903884	3.06e-05
BMI_Yengo2018	C4_116	1.20296796	0.16861177	5.09e-13	1.287749694	0.177344992	2.02e-13
BMI_Yengo2018	C4_117	1.55071455	0.17492287	4.28e-19	1.6001316	0.184143124	2.02e-18
