Tadross_cluster	Herb_cluster	ncells_C_total	ncells_C_siletti	Percentage_H_Cluster
C2-10	2	9006	1299	58.51
C2-10	46	9006	1299	35.03
C2-11	2	10593	1057	97.07
C2-12	15	3698	571	57.79
C2-13	2	694	38	86.84
C2-14	11	766	152	86.18
C2-14	42	766	152	1.32
C2-15	11	280	59	77.97
C2-16	2	927	252	96.83
C2-17	45	1222	739	80.38
C2-18	15	5594	2759	51.21
C2-18	33	5594	2759	29.9
C2-19	1	7511	4360	69.75
C2-20	4	3581	1191	49.71
C2-20	6	3581	1191	39.29
C2-21	19	5314	3241	31.66
C2-21	4	5314	3241	26.47
C2-21	38	5314	3241	23.39
C2-22	13	4454	3524	59.36
C2-22	9	4454	3524	20.6
C2-23	4	1763	1350	66.96
C2-23	51	1763	1350	26.67
C2-24	1	302	182	98.9
C2-25	7	2151	486	56.79
C2-25	26	2151	486	35.39
C2-25	54	2151	486	0.82
C2-26	1	2332	720	90
C2-26	29	2332	720	4.44
C2-27	31	2979	415	48.67
C2-27	1	2979	415	45.3
C2-28	3	1050	71	52.11
C2-28	1	1050	71	36.62
C2-29	31	3331	1363	72.05
C2-30	3	4491	2700	37.78
C2-30	48	4491	2700	18.15
C2-31	8	5152	4520	63.54
C2-31	25	5152	4520	25.62
C2-31	53	5152	4520	4.14
C2-32	28	1717	1470	73.06
C2-32	49	1717	1470	21.02
C2-33	27	2319	1296	45.29
C2-33	1	2319	1296	39.58
C2-34	3	2919	1046	52.49
C2-35	3	3466	1696	57.19
C2-35	34	3466	1696	25.71
C2-36	16	4265	3048	52.62
C2-36	30	4265	3048	21.56
C2-36	52	4265	3048	11.55
C2-37	50	996	465	98.92
C2-38	44	893	714	91.18
C2-39	6	5160	2806	59.16
C2-39	43	5160	2806	25.05
C2-40	10	9009	6160	36.27
C2-40	20	9009	6160	23.13
C2-40	21	9009	6160	21.48
C2-40	32	9009	6160	13.96
C2-41	2	2516	2036	45.58
C2-41	23	2516	2036	34.53
C2-42	17	2659	1966	80.47
C2-43	47	1126	614	82.9
C2-44	18	5608	5166	29.91
C2-44	40	5608	5166	13.96
C2-45	14	5245	4087	48.54
C2-45	24	5245	4087	27.11
C2-45	36	5245	4087	16.34
C2-46	0	18381	14859	53.47
C2-46	5	18381	14859	24.51
C2-46	22	18381	14859	5.9
C2-46	41	18381	14859	5.04
C2-47	35	565	492	71.95
C2-9	2	22440	1303	98
C3-100	36	512	149	42.95
C3-101	103	789	294	34.01
C3-101	115	789	294	28.23
C3-102	36	832	597	49.41
C3-102	85	832	597	33.84
C3-103	36	475	226	62.83
C3-104	36	649	303	79.54
C3-105	69	721	276	89.49
C3-106	83	929	560	35.36
C3-106	85	929	560	34.46
C3-107	25	1324	999	89.39
C3-108	83	625	494	42.91
C3-108	103	625	494	42.71
C3-109	66	1202	915	62.08
C3-109	95	1202	915	31.04
C3-110	25	185	80	76.25
C3-111	98	687	310	99.35
C3-112	98	309	155	98.06
C3-113	89	893	714	60.5
C3-113	107	893	714	30.67
C3-114	24	1154	369	36.86
C3-114	39	1154	369	35.77
C3-115	62	2025	1529	37.93
C3-115	24	2025	1529	32.9
C3-116	24	673	196	57.65
C3-117	59	1308	712	95.51
C3-118	47	2557	1607	48.29
C3-118	64	2557	1607	38.21
C3-119	31	1394	902	74.17
C3-120	26	2141	1522	81.34
C3-121	3	1868	1235	51.42
C3-121	30	1868	1235	30.28
C3-121	104	1868	1235	14.66
C3-122	3	1049	894	88.59
C3-123	102	1348	1109	38.86
C3-123	71	1348	1109	24.89
C3-123	49	1348	1109	24.26
C3-124	11	1168	927	97.95
C3-125	7	470	253	72.33
C3-126	32	2189	1713	54.76
C3-126	63	2189	1713	37.42
C3-127	76	976	614	82.9
C3-129	57	1145	1022	64.19
C3-130	7	1521	1429	57.73
C3-130	109	1521	1429	12.04
C3-131	50	894	765	86.27
C3-132	22	2048	1950	52.1
C3-132	81	2048	1950	26.05
C3-133	43	865	741	82.05
C3-134	42	1503	1424	45.51
C3-134	55	1503	1424	38.83
C3-135	18	2327	1420	78.03
C3-136	42	550	502	31.67
C3-136	88	550	502	31.67
C3-136	55	550	502	30.48
C3-137	1	4066	3166	42.14
C3-137	23	4066	3166	28.52
C3-137	61	4066	3166	19.96
C3-138	12	1322	1233	65.77
C3-138	1	1322	1233	29.76
C3-139	0	12993	10460	21.01
C3-139	2	12993	10460	18.38
C3-139	29	12993	10460	9.89
C3-139	5	12993	10460	9.76
C3-139	56	12993	10460	7.07
C3-139	33	12993	10460	6.5
C3-139	70	12993	10460	5.53
C3-139	72	12993	10460	3.3
C3-140	94	565	492	64.84
C3-140	86	565	492	7.11
C3-22	11	1801	142	97.18
C3-23	11	1129	400	98.75
C3-25	11	2806	548	99.64
C3-26	68	4383	637	68.29
C3-26	11	4383	637	26.37
C3-27	11	3767	405	98.02
C3-28	11	856	257	75.88
C3-29	11	5477	752	96.41
C3-31	11	3715	251	98.41
C3-32	45	2086	264	51.14
C3-33	45	485	32	43.75
C3-34	75	708	97	29.9
C3-35	45	419	178	89.33
C3-36	11	694	38	86.84
C3-37	14	766	152	82.24
C3-37	101	766	152	3.95
C3-38	14	280	59	77.97
C3-39	11	777	194	96.39
C3-40	11	150	58	98.28
C3-41	91	1222	739	49.93
C3-41	105	1222	739	30.45
C3-42	54	1545	908	61.78
C3-42	100	1545	908	24.23
C3-43	45	1347	532	62.59
C3-44	37	773	456	91.23
C3-45	38	622	234	75.21
C3-46	37	947	431	89.1
C3-47	54	360	198	88.38
C3-48	38	1197	402	26.87
C3-48	80	1197	402	1.49
C3-49	38	1344	915	59.13
C3-50	10	1152	645	68.22
C3-51	27	1225	841	40.43
C3-51	4	1225	841	25.09
C3-51	97	1225	841	24.97
C3-52	4	1679	976	79.3
C3-53	51	914	581	86.06
C3-54	39	867	182	36.26
C3-55	113	861	246	53.66
C3-55	48	861	246	32.93
C3-56	41	1853	763	39.84
C3-56	44	1853	763	31.19
C3-57	44	1249	658	55.02
C3-58	34	739	467	90.79
C3-59	74	1602	833	41.06
C3-59	27	1602	833	33.49
C3-60	44	808	497	75.86
C3-61	52	916	786	92.37
C3-62	16	1550	1289	86.66
C3-63	13	1047	603	45.44
C3-63	60	1047	603	32.01
C3-64	60	723	650	65.54
C3-65	34	1134	982	41.65
C3-65	13	1134	982	40.43
C3-66	79	1331	947	48.36
C3-66	48	1331	947	35.37
C3-67	93	432	403	85.11
C3-68	4	302	182	96.7
C3-69	51	1191	286	76.57
C3-70	90	960	200	84.5
C3-70	112	960	200	2
C3-71	10	1120	286	43.36
C3-72	75	1212	434	45.16
C3-72	10	1212	434	36.41
C3-73	92	1199	251	80.08
C3-74	10	1780	164	77.44
C3-75	10	313	36	50
C3-75	118	313	36	8.33
C3-75	20	313	36	5.56
C3-77	26	731	207	52.17
C3-77	78	731	207	28.99
C3-78	92	1301	602	60.96
C3-79	87	455	177	37.85
C3-80	78	713	331	85.8
C3-81	27	131	46	80.43
C3-82	40	1077	791	45.39
C3-82	58	1077	791	31.98
C3-83	82	1608	786	61.83
C3-83	58	1608	786	30.28
C3-84	8	1417	964	40.46
C3-84	28	1417	964	33.3
C3-85	40	389	159	86.16
C3-86	6	304	241	63.07
C3-87	6	1993	1782	80.08
C3-88	9	1240	1131	81.08
C3-89	10	134	82	39.02
C3-90	15	1208	1016	97.15
C3-91	108	273	268	63.81
C3-92	19	1216	1102	95.64
C3-93	84	501	368	83.97
C3-94	46	1127	785	48.28
C3-94	28	1127	785	28.15
C3-95	28	428	354	92.94
C3-96	10	764	157	66.88
C3-97	84	1109	354	45.2
C3-98	117	357	103	52.43
C3-98	115	357	103	26.21
C3-99	8	941	440	66.82
C4-100	24	318	210	90.95
C4-101	24	218	141	70.21
C4-102	24	247	79	60.76
C4-103	24	221	113	62.83
C4-104	10	351	247	73.28
C4-105	266	491	327	70.95
C4-106	73	383	267	70.04
C4-107	11	287	192	59.9
C4-108	73	350	182	60.44
C4-109	73	275	166	84.34
C4-109	354	275	166	8.43
C4-11	19	116	37	91.89
C4-110	115	322	196	40.82
C4-110	11	322	196	40.31
C4-111	72	144	86	31.4
C4-111	73	144	86	30.23
C4-112	73	301	154	39.61
C4-112	115	301	154	25.32
C4-113	102	204	149	77.18
C4-114	102	177	111	73.87
C4-115	102	533	321	89.41
C4-116	440	265	54	40.74
