human_cluster	mouse_cluster	human_parent	mouse_parent	similarity	human_count	mouse_count
C4-101 Mid-1 GABA-3 LHX6 PROX1	C465-267: Lhx6.Sox6.Lhx8.GABA-1	C3-50 Mid-1 GABA-3 LHX6	C286-166: Lhx6.Sox6.Lhx8.GABA-1	0.786710356458862	1	2
C4-103 Mid-1 GABA-3 LHX6 FIGN	C465-267: Lhx6.Sox6.Lhx8.GABA-1	C3-50 Mid-1 GABA-3 LHX6	C286-166: Lhx6.Sox6.Lhx8.GABA-1	0.856114154159498	1	2
C4-104 Mid-1 GABA-3 NR2F1 RORB	C465-169: Nfix.Unassigned.Mixed.GABA-2	C3-51 Mid-1 GABA-3 NR2F1	C286-103: Nfix.Unassigned.Mixed.GABA-2	0.70150109251787	1	1
C4-105 Mid-1 GABA-3 NR2F1 CCK	C465-244: Dlx6os1.St18.Lhx6.GABA-1	C3-51 Mid-1 GABA-3 NR2F1	C286-151: St18.Lhx6.GABA-1	0.823846772766681	1	2
C4-107 Mid-1 GABA-3 ECEL1 POU6F2	C465-153: Slc30a3.Meis2.Mixed.GABA-2	C3-52 Mid-1 GABA-3 ECEL1	C286-95: Meis2.Mixed.GABA-2	0.725937000663046	1	3
C4-108 Mid-1 GABA-3 ECEL1 FIGN	C465-248: Fign.Piezo2.Lhx6.GABA-1	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	0.786727423099102	1	3
C4-109 Mid-1 GABA-3 ECEL1 ST18	C465-248: Fign.Piezo2.Lhx6.GABA-1	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	0.879081119583257	1	3
C4-110 Mid-1 GABA-3 ECEL1 GPC3	C465-153: Slc30a3.Meis2.Mixed.GABA-2	C3-52 Mid-1 GABA-3 ECEL1	C286-95: Meis2.Mixed.GABA-2	0.907251508281274	1	3
C4-111 Mid-1 GABA-3 ECEL1 ABI3BP	C465-248: Fign.Piezo2.Lhx6.GABA-1	C3-52 Mid-1 GABA-3 ECEL1	C286-153: Piezo2.Lhx6.GABA-1	0.796689902375172	1	3
C4-114 Mid-1 GABA-3 SFRP1 RELN	C465-245: Nfix.St18.Lhx6.GABA-1	C3-53 Mid-1 GABA-3 SFRP1	C286-151: St18.Lhx6.GABA-1	0.867775769807669	1	2
C4-116 Mid-1 GABA-4 NTS CALCR	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	0.861110764274303	1	3
C4-117 Mid-1 GABA-4 NTS SATB2	C465-277: Crh.Dlx1.Gal.Nts.GABA-1	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	0.858998422369352	1	1
C4-118 Mid-1 GABA-4 NTS ABCG2	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	0.8844135452861	1	3
C4-119 Mid-1 GABA-4 NTS BRS3	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	C3-54 Mid-1 GABA-4 NTS	C286-170: Dlx1.Gal.Nts.GABA-1	0.757005994520437	1	3
C4-12 Pre-1 GABA-8 SLC1A3 PDYN	C465-188: Cebpa.Prok2.Fam122b.Vipr2.GABA-2	C3-24 Pre-1 GABA-8 SLC1A3	C286-113: Prok2.Fam122b.Vipr2.GABA-2	0.843055799580967	2	1
C4-120 Mid-1 GABA-4 OR8A1 SCGN	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	C3-55 Mid-1 GABA-4 OR8A1	C286-167: Hmx2.Gal.Nts.GABA-1	0.868674360644185	1	2
C4-121 Mid-1 GABA-4 OR8A1 SNTB1	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	C3-55 Mid-1 GABA-4 OR8A1	C286-167: Hmx2.Gal.Nts.GABA-1	0.790383879681883	1	2
C4-123 Mid-1 GABA-4 HMX3 KISS1	C465-275: Slc18a2.Dlx1.Gal.Nts.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-170: Dlx1.Gal.Nts.GABA-1	0.94082571329521	1	1
C4-124 Mid-1 GABA-4 HMX3 ADAMTS6	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	0.737771445019214	1	3
C4-125 Mid-1 GABA-4 HMX3 GPC3	C465-276: Brs3.Dlx1.Gal.Nts.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-170: Dlx1.Gal.Nts.GABA-1	0.857605797746083	1	1
C4-126 Mid-1 GABA-4 HMX3 COL4A4	C465-269: Brs3.Hmx2.Gal.Nts.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	0.801327271109791	1	1
C4-127 Mid-1 GABA-4 HMX3 HMCN1	C465-231: Cck.Gal.Hmcn1.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-143: Gal.Hmcn1.GABA-1	0.770437495194605	1	2
C4-128 Mid-1 GABA-4 HMX3 HMCN1	C465-231: Cck.Gal.Hmcn1.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-143: Gal.Hmcn1.GABA-1	0.742105690897201	1	2
C4-129 Mid-1 GABA-4 HMX3 CYSLTR2	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	0.825663305418852	1	3
C4-13 Pre-1 GABA-8 DRD2 EYA2	C465-172: Nms.Vip.Vipr2.GABA-2	C3-25 Pre-1 GABA-8 DRD2	C286-106: Vip.Vipr2.GABA-2	0.744633315105246	1	1
C4-130 Mid-1 GABA-5 TRPC4 NPSR1	C465-272: Gpr50.Nts.GABA-1	C3-57 Mid-1 GABA-5 TRPC4	C286-169: Gpr50.Nts.GABA-1	0.88338862933027	1	2
C4-131 Mid-1 GABA-5 TRPC4 SLC38A11	C465-233: Lef1.Gal.Hmcn1.GABA-1	C3-57 Mid-1 GABA-5 TRPC4	C286-143: Gal.Hmcn1.GABA-1	0.910258718610627	2	1
C4-132 Mid-1 GABA-5 TRPC4 TAC3	C465-272: Gpr50.Nts.GABA-1	C3-57 Mid-1 GABA-5 TRPC4	C286-169: Gpr50.Nts.GABA-1	0.870219097230056	1	2
C4-136 Mid-1 GABA-5 GAL PGR	C465-241: Nts.Crh.GABA-1	C3-58 Mid-1 GABA-5 GAL	C286-148: Nts.Crh.GABA-1	0.881353300266388	1	2
C4-137 Mid-1 GABA-5 DLK1 FIGN	C465-239: Syt2.Gal.Crh.GABA-1	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	0.921641449999973	1	1
C4-138 Mid-1 GABA-5 DLK1 GAL	C465-240: Dlx6os1.Gal.Crh.GABA-1	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	0.881650805637974	1	1
C4-139 Mid-1 GABA-5 DLK1 SOX6	C465-245: Nfix.St18.Lhx6.GABA-1	C3-59 Mid-1 GABA-5 DLK1	C286-151: St18.Lhx6.GABA-1	0.810397846422643	1	2
C4-141 Mid-1 GABA-5 DLK1 SEMA3C	C465-238: Nts.Gal.Crh.GABA-1	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	0.939705611129153	1	1
C4-142 Mid-1 GABA-5 RORB VGF	C465-241: Nts.Crh.GABA-1	C3-60 Mid-1 GABA-5 RORB	C286-148: Nts.Crh.GABA-1	0.820217859379007	1	2
C4-143 Mid-1 GABA-5 RORB GAL	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	C3-60 Mid-1 GABA-5 RORB	C286-167: Hmx2.Gal.Nts.GABA-1	0.910694724239636	1	3
C4-144 Mid-1 GABA-5 RORB GLI3	C465-271: Ecel1.Nts.GABA-1	C3-60 Mid-1 GABA-5 RORB	C286-168: Ecel1.Nts.GABA-1	0.918771879233639	1	1
