reduction	mixingknn	mean_knn_purity	asw	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_8e83e9f83a42b9b46aa8ca07149a955b	0.456873758068563	0.46569490034862	0.057107401661919	scVI	50	1500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_885b3437fabc9e3422f1da504f77e89f	0.452775783516888	0.468575398450995	0.061259130996146	scVI	50	2000	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_4bf94ec6afe5d208b3c5d629a0cd3725	0.442238995838928	0.472428869815913	0.0591970983756535	scVI	50	2500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_1bad8d5d94566fe81c1fd6475bc34280	0.440700675907346	0.470211946828577	0.0640807539126432	scVI	50	3000	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_0642341c18712cecd5149af9d44d10dd	0.438463301993127	0.469417317873162	0.064076306119559	scVI	50	3500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_5ed30e49c8de760db86a4ad1d6ee8f35	0.462365591537501	0.464481028679953	0.0399118805463306	scVI	80	1500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_221c3f02b7308ca5e9ad67710a437904	0.456873758068563	0.467899049331006	0.0443394496182523	scVI	80	2000	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_6107cc33329393d462311433b43ea787	0.453867224188554	0.471201437625138	0.0503236680796905	scVI	80	2500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_9ab08e8e826162d08cd3169fd76e508a	0.446961669342075	0.470630829816565	0.0545147978535463	scVI	80	3000	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_e3cb6aeee938021b5c7da2748bb6bf21	0.442238995838928	0.471064690056316	0.0570061206494933	scVI	80	3500	100_0.1_2_256	2	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_071129db714d7764ea096f6489dfed80	0.453867224188554	0.461030283475252	0.0716268157577186	scVI	50	1500	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_9b92b3d065ca798df78c9d195194c68b	0.450290483927959	0.457761900130134	0.0726623319163737	scVI	50	2000	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_62ffe8c4ed27a1311582228bf7b94991	0.446961669342075	0.456482724101653	0.07161168258082	scVI	50	2500	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_e78f6d26e10c3f595f918e9d4eaabfee	0.441469835873137	0.45304081279966	0.0749722035921654	scVI	50	3000	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_f039f4329a10dc3ef0e7100ecdeaf079	0.437694142027336	0.455741218922312	0.0728859387129364	scVI	50	3500	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_3d20a8a3f2fa14af86320ad3ffe1801a	0.457642918034354	0.457163633154943	0.0726576624110292	scVI	80	1500	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_5a8aaf38bdc42ba4c7e56f9e65bddb08	0.450091530342753	0.456292712778786	0.0710173479603563	scVI	80	2000	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_b4fbf6191693e326e34e63bfcfda18d8	0.44427741616794	0.456841910580282	0.073003909675451	scVI	80	2500	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_8598eb7c445af990eac33a8982a8b53d	0.440700675907346	0.453634361353236	0.0728604675091008	scVI	80	3000	100_0.1_3_256	3	100	0.1
scVI_0_100_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_b86914fd9bd40ae4c087bf2fd5f4f397	0.438463301993127	0.456204193123524	0.0734134698418505	scVI	80	3500	100_0.1_3_256	3	100	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_cece3b3d7072a761ac233567176519cf	0.453867224188554	0.457587107246991	0.057375243122674	scVI	50	1500	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_ac436e18e32447473451aabf40d96c2a	0.448053110013741	0.458249675514664	0.0575518310655723	scVI	50	2000	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_44257e2fd8fa1d8b5885e562e5a706c3	0.44427741616794	0.458778403935208	0.0594643186442405	scVI	50	2500	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_11501303d0833110a2dc6acbfdf5e957	0.441469835873137	0.457263551947696	0.0575352746435111	scVI	50	3000	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_ae8d1542f3dfbd2f50db235351a3d379	0.441147555167262	0.460089193949895	0.0629472523758668	scVI	50	3500	250_0.1_2_256	2	250	0.1
