Sample_ID	Donor_ID	Dataset	mean_nCount_RNA	mean_nFeature_RNA	mean_percent.mt	sem_nCount_RNA	sem_nFeature_RNA	sem_percent.mt	facs	pct_nonHypoNeuron
TweV8_N1	TweV8	Tadross	10771.8854435831	3610.32213608958	0.681702511537965	229.005654989889	41.5298562782075	0.0194230426836842		48.87
TweV8_US1	TweV8	Tadross	7806.11570782159	2820.3374272786	0.144046974314893	139.582391485679	32.3852926117019	0.00930778312020036		4.9
eXCJJ_N2	eXCJJ	Tadross	8418.12536443149	3217.67180341524	2.3488641071836	106.914285828934	24.8685040212894	0.0424451479458602		83.93
eXCJJ_US2	eXCJJ	Tadross	4912.0473943813	2165.96675959683	0.642869286569028	44.1162136621574	12.4443184773857	0.0117280959272473		4.09
tzan2_N6.3	tzan2	Tadross	4297.359375	1910.79457720588	0.455193884917651	54.9988205481785	15.2273486983765	0.0054348768084509		5.64
tzan2_US6.1	tzan2	Tadross	3938.61705551086	1784.25362027353	0.35431229819493	45.2768948007446	12.5082487930513	0.00553034999575461		0.68
tzan2_US6.2	tzan2	Tadross	4648.30928063943	2003.34902309059	0.254541894351246	52.8525904362839	13.6786008278176	0.00535612063458579		0.77
tzan2_2	tzan2	Tadross	5678.9930020284	2452.51206896552	0.688890286429332	51.298458423523	14.5493789005397	0.00700240672794023		4.69
tzan2_5.1	tzan2	Tadross	1845.29872018615	1099.82373472949	0.122253795304347	28.8967866050305	11.4280795617293	0.00264816694287799		6.05
tzan2_5.2	tzan2	Tadross	1742.80427582054	1060.77175549533	0.119426360874682	25.3060624987626	10.6308876194268	0.00254932407483693		6.16
tzan2_5.3	tzan2	Tadross	1780.25528116632	1080.35287116929	0.133674669183108	25.9778789871004	10.9529863207739	0.0026475683229338		5.51
tzan2_5.4	tzan2	Tadross	1849.73962684489	1106.25341130604	0.138571228684773	27.8486051881382	11.4245252195155	0.00260716174477528		5.25
znZv1_S3	znZv1	Tadross	2727.95463289516	1642.16655979481	0.566743719705226	23.8138655643906	10.234501098492	0.00576028384114415		2.94
znZv1_S2	znZv1	Tadross	2924.56000725163	1716.909173314	0.647794200018313	28.3571022672599	12.396694411777	0.00779680445706877		1.99
znZv1_S1	znZv1	Tadross	3214.32785747339	1891.18232299861	2.08918321121028	41.5214541787292	17.8178989493732	0.0287018062922028		0.25
znZv1_S1F	znZv1	Tadross	2818.59302325581	1651.13237924866	0.260123645799706	60.4167288892367	26.223693849007	0.0267988735155462		0.31
znZv1_S5	znZv1	Tadross	2149.75416666667	1287.36666666667	0.0652189332868651	74.7648872814275	31.6026391723541	0.00520688137132991		11.15
znZv1_S8	znZv1	Tadross	1701.89923224568	1086.36516314779	0.25288559984857	29.5952558405726	13.1503720131948	0.00734026767123051		3.79
znZv1_S9	znZv1	Tadross	3655.44859813084	1765.36857476636	0.147446002733687	102.723354238628	33.9583648076736	0.00816617229908661		3.25
znZv1_S10	znZv1	Tadross	4591.31417537483	1956.41094956838	0.23865155379619	86.4485924765304	22.7800244366543	0.0116472872851878		2.46
f5sVM_ARHS2	f5sVM	Tadross	2477.22215434738	1497.88963551212	0.345574534575833	31.2825090092131	10.2137074710287	0.0106827539603238		19.65
znZv1_S11	znZv1	Tadross	4633.71482965932	2189.28456913828	0.3459467233651	59.8106470240705	20.255923572942	0.00861333928460845		3.54
buFpQ_A1	buFpQ	Tadross	9114.25014310246	3291.36748712078	0.148747614807834	244.041667273937	45.4788229203032	0.00824441836241901		44.64
buFpQ_A3	buFpQ	Tadross	11502.1185770751	3426.15151515152	0.397785970263944	535.910752841576	88.3309308945005	0.0390909655169831		35.09
buFpQ_R1	buFpQ	Tadross	4012.00834260289	2024.51557285873	0.423857078601027	35.6706517584852	11.0383315517654	0.00779674359461427		8.92
buFpQ_R2	buFpQ	Tadross	5318.97389622946	2464.76973896229	0.344180837714443	45.8591974218229	11.918219824945	0.00639122257144979		10.84
